序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.58,-0.43,0.29,3.87,11.451180177996,0.4167044,69.85609757,-663,748,91.6,2026-07-31,1.12,64.0,False
2,000002,万  科Ａ,3.33,-0.3,0.82,-1.67,3.329299753724,0.3360068,59.04181827,-516,3775,80.8,2026-07-31,0.02,47.7,False
3,000006,深振业Ａ,6.57,0.77,0.61,294.57,6.553325933421,0.3306084,65.68570176,1349,1734,72.0,2026-07-31,0.25,47.3,False
4,000007,全新好,9.07,-1.63,0.9,-361.9,9.185305847049,0.276054,59.52438445,1015,3648,63.6,2026-07-31,-1.26,37.9,False
5,000008,神州高铁,2.44,2.95,0.91,-54.5,2.368786980224,0.284794727273,53.93344297,-1481,4847,76.0,2026-07-31,3.01,41.0,False
6,000009,中国宝安,7.84,-0.38,3.12,289.49,7.658414675529,0.3966288,68.43797483,95,1035,90.4,2026-07-31,2.37,61.9,False
7,000010,*ST美丽,1.61,1.9,1.23,17.09,1.566784450211,0.4236748,63.37079885,2175,2394,68.0,2026-07-31,2.76,43.1,False
8,000011,深物业A,7.95,0.13,1.24,-43.49,7.905465677069,0.1611532,56.89857786,-1473,4303,83.2,2026-07-31,0.56,47.3,False
9,000012,南  玻Ａ,3.97,1.02,0.56,-30.61,3.965299664014,0.2491752,57.46741649,-593,4189,75.2,2026-07-31,0.12,43.2,False
10,000014,沙河股份,10.09,0.7,1.14,-71.93,10.046957624549,0.1167272,54.18852118,-1242,4814,78.4,2026-07-31,0.43,42.5,False
11,000016,*ST康佳A,2.56,0.39,0.44,-8.38,2.538585007974,0.3640596,65.36680718,1673,1809,73.6,2026-07-31,0.84,48.1,False
12,000017,深中华A,6.03,-0.5,0.91,169.88,6.029924865498,0.1876736,69.7285924,496,769,73.6,2026-07-31,0.0,51.3,False
13,000019,深粮控股,6.18,0.98,0.8,27.42,6.069312037997,0.1932656,58.25956921,-370,4004,71.2,2026-07-31,1.82,41.5,False
14,000020,深华发Ａ,10.71,2.0,1.05,145.71,10.47962715961,0.1063764,67.40767086,-591,1270,68.4,2026-07-31,2.2,46.1,False
15,000021,深科技,35.04,-5.88,5.44,56.95,38.572372730626,0.3721024,67.82574891,1629,1173,92.0,2026-07-31,-9.16,62.4,False
16,000025,特  力Ａ,15.2,-0.2,1.16,49.22,15.178462906943,0.300836,72.41946161,-247,378,86.8,2026-07-31,0.14,62.9,False
17,000026,飞亚达,15.99,-2.32,1.87,24.92,16.496245211811,0.2035912,62.90055775,-1939,2546,68.0,2026-07-31,-3.07,42.8,False
18,000027,深圳能源,6.6,1.69,0.34,6.28,6.465710590861,0.349898,65.24541141,651,1841,75.6,2026-07-31,2.08,49.3,False
19,000028,国药一致,21.17,0.71,0.25,11.27,20.923552730965,0.12632,67.0116988,-513,1366,75.6,2026-07-31,1.18,50.7,False
20,000029,深深房Ａ,20.3,0.3,0.21,-1307.43,20.275099414707,0.2431372,60.99699764,-41,3193,66.8,2026-07-31,0.12,40.7,False
21,000030,富奥股份,4.37,1.86,0.29,15.07,4.295713913406,0.1862988,68.36700199,-388,1050,69.2,2026-07-31,1.73,47.3,False
22,000031,大悦城,2.28,3.17,0.54,-11.05,2.190553508568,0.2662104,56.4393069,-752,4435,72.8,2026-07-31,4.08,41.1,False
23,000032,深桑达Ａ,13.11,-3.18,3.08,-48.33,13.332870536127,0.4007064,64.57980646,2642,2028,77.2,2026-07-31,-1.67,49.9,False
24,000034,神州数码,23.81,-1.2,2.78,25.65,24.425714984134,0.3390408,70.39226296,1841,665,86.4,2026-07-31,-2.52,60.8,False
25,000035,中国天楹,5.13,1.99,0.73,27.66,5.01220366798,0.2508708,62.38027511,-947,2700,77.6,2026-07-31,2.35,48.4,False
26,000036,华联控股,4.0,2.3,1.37,53.91,3.932660686119,0.2464728,61.86993218,-742,2900,70.8,2026-07-31,1.71,43.8,False
27,000037,深南电A,10.08,10.04,10.51,126.31,9.125809741226,0.1998668,55.06390086,-859,4678,81.2,2026-07-31,10.46,44.7,False
28,000039,中集集团,8.74,0.81,0.61,56.39,8.624449769843,0.2444872,63.29150721,-1100,2423,78.8,2026-07-31,1.34,49.9,False
29,000042,中洲控股,8.13,0.12,0.2,-20.4,8.133295557203,0.2178632,52.68199818,-346,4986,64.4,2026-07-31,-0.04,33.9,False
30,000045,深纺织Ａ,9.7,0.83,0.9,55.31,9.629757241347,0.1820868,68.9862291,226,930,80.8,2026-07-31,0.73,55.7,False
31,000048,京基智农,18.46,-1.86,2.82,-10.59,18.676672232892,0.5623644,68.04246752,774,1124,70.4,2026-07-31,-1.16,47.9,False
32,000049,德赛电池,24.67,1.11,0.99,29.68,24.500317923586,0.2312732,61.5973726,-479,2992,83.2,2026-07-31,0.69,51.2,False
33,000050,深天马Ａ,6.51,0.62,0.52,-28.48,6.510494140663,0.2942656,65.69331762,956,1727,77.6,2026-07-31,-0.01,51.0,False
34,000055,方大集团,3.46,1.47,0.8,32.94,3.392579471442,0.204086,60.25739917,1063,3421,70.4,2026-07-31,1.99,42.4,False
35,000056,*ST皇庭,1.91,0.0,0.75,-17.48,1.880384174388,0.3796768,62.32199128,272,2720,68.4,2026-07-31,1.57,42.6,False
36,000058,深 赛 格,7.04,5.86,1.37,87.7,6.649399985426,0.1426012,58.84755237,-2648,3841,76.8,2026-07-31,5.87,45.2,False
37,000059,华锦股份,4.65,0.43,0.79,41.92,4.619129983407,0.226128,65.98812976,-112,1643,75.6,2026-07-31,0.67,49.9,False
38,000060,中金岭南,6.33,0.32,1.12,13.96,6.347019985966,0.4035892,69.19315994,584,871,78.8,2026-07-31,-0.27,54.5,True
39,000061,农 产 品,6.11,3.04,0.66,22.46,5.895706129388,0.2153128,69.14176311,433,882,74.8,2026-07-31,3.63,51.7,False
40,000062,深圳华强,21.93,0.69,1.16,28.54,21.851406857096,0.2628088,67.02778332,1746,1359,78.8,2026-07-31,0.36,52.8,False
41,000063,中兴通讯,33.91,0.3,1.06,30.95,34.168862505051,0.4395188,60.56306264,124,3325,86.8,2026-07-31,-0.76,52.6,False
42,000065,北方国际,9.09,-2.26,2.64,23.89,9.307409637533,0.2546244,62.1727021,-893,2777,72.8,2026-07-31,-2.34,45.3,False
43,000066,中国长城,13.78,0.29,1.47,-132.9,13.772393532689,0.3536492,59.87917839,1447,3533,84.0,2026-07-31,0.06,50.3,False
44,000068,华控赛格,2.86,3.62,0.72,-39.62,2.751524639475,0.1800084,50.0452668,0,5140,70.0,2026-07-31,3.94,35.0,False
45,000069,华侨城Ａ,1.81,2.84,0.54,-2.66,1.740665358391,0.41922,58.30588843,464,3989,74.8,2026-07-31,3.98,43.6,False
46,000070,特发信息,12.76,0.63,2.01,-290.53,12.864357968814,0.2573876,58.93067362,1231,3809,79.2,2026-07-31,-0.81,46.7,False
47,000078,ST海王,1.62,1.25,1.16,73.53,1.597893954931,0.3036892,53.41718416,-268,4916,82.4,2026-07-31,1.38,44.0,False
48,000088,盐 田 港,4.57,2.01,0.62,17.45,4.44563614237,0.2418972,68.21332951,-712,1084,76.4,2026-07-31,2.8,52.1,False
49,000089,深圳机场,6.86,1.33,0.41,13.62,6.728771111823,0.1877988,67.67030557,-62,1213,77.2,2026-07-31,1.95,52.2,False
50,000090,天健集团,3.45,2.68,0.65,-69.13,3.324996828457,0.28517,67.1471548,1029,1325,65.2,2026-07-31,3.76,43.8,False
51,000096,广聚能源,7.87,1.81,0.58,84.95,7.675536042365,0.1281284,58.52735019,-2165,3932,70.0,2026-07-31,2.53,41.0,False
52,000099,中信海直,14.74,1.94,0.53,30.69,14.435056851718,0.153366,63.32937702,-8,2410,79.6,2026-07-31,2.11,50.4,False
53,000100,TCL科技,4.68,-1.06,1.32,15.64,4.819522877438,0.4547012,68.23351294,515,1081,86.4,2026-07-31,-2.89,59.0,False
54,000151,中成股份,9.89,3.02,1.52,51.72,9.577978197393,0.2279984,59.22237947,-1086,3725,70.8,2026-07-31,3.26,41.9,False
55,000153,丰原药业,5.53,1.28,0.89,17.36,5.423052754421,0.1945856,65.24461996,-288,1842,72.0,2026-07-31,1.97,47.0,False
56,000155,川能动力,12.38,0.98,1.04,21.42,12.222145718124,0.2660836,61.83392312,-1252,2916,89.2,2026-07-31,1.29,55.2,False
57,000156,华数传媒,7.14,2.0,0.31,31.47,6.976556571972,0.1603164,69.93981081,1197,729,72.8,2026-07-31,2.34,50.9,False
58,000157,中联重科,7.56,-0.53,0.4,18.49,7.614349529412,0.284782,73.90089316,-105,249,86.8,2026-07-31,-0.71,64.1,False
59,000158,常山北明,13.42,0.9,1.31,-52.8,13.148465125186,0.306408,68.07460281,2209,1117,74.4,2026-07-31,2.07,50.6,False
60,000159,国际实业,5.7,6.54,2.72,93.92,5.327889178882,0.255922,64.31635998,978,2111,67.2,2026-07-31,6.98,43.2,False
61,000166,申万宏源,4.69,0.0,0.14,12.46,4.692332700143,0.415154,71.4659617,266,512,82.8,2026-07-31,-0.05,59.2,False
62,000301,东方盛虹,12.29,4.42,0.52,14.18,11.784097037697,0.2696224,68.67595542,-472,988,85.6,2026-07-31,4.29,58.8,False
63,000333,美的集团,86.36,-1.42,0.22,12.99,86.470600628312,0.44454,76.86641865,-83,88,94.8,2026-07-31,-0.13,72.9,False
64,000338,潍柴动力,28.62,2.4,1.09,20.04,28.041068618207,0.446914,74.96525842,710,180,80.0,2026-07-31,2.06,60.0,False
65,000400,许继电气,23.53,3.2,1.88,53.96,22.771525559927,0.2717028,66.25768967,-1129,1562,88.0,2026-07-31,3.33,58.3,False
66,000401,金隅冀东,3.71,1.37,0.16,-2.48,3.652974846293,0.1810924,56.54411186,-697,4396,72.8,2026-07-31,1.56,41.2,False
67,000402,金 融 街,2.52,1.2,0.68,5.46,2.470415307696,0.3771376,54.77401669,-609,4732,70.4,2026-07-31,2.01,38.6,False
68,000403,派林生物,10.64,2.01,0.47,110.06,10.379231299215,0.1681424,59.58865198,-1851,3624,66.8,2026-07-31,2.51,39.8,False
69,000404,长虹华意,7.84,0.38,0.64,11.82,7.747962194975,0.205832,70.83167276,35,595,69.2,2026-07-31,1.19,49.0,False
70,000407,胜利股份,4.07,3.04,1.39,24.88,3.926045857126,0.2336864,65.42474947,794,1795,70.8,2026-07-31,3.67,46.3,False
71,000408,藏格矿业,79.74,-1.09,0.43,19.87,80.511795042184,0.39022,73.72492638,-68,259,83.6,2026-07-31,-0.96,61.6,False
72,000409,云鼎科技,8.91,1.37,1.02,76.4,8.72336413749,0.2172436,70.49105595,1293,643,74.4,2026-07-31,2.14,52.4,False
73,000410,沈阳机床,4.99,1.22,0.39,-97.67,4.907737836268,0.3051588,64.93909106,1599,1926,74.8,2026-07-31,1.68,48.6,False
74,000411,英特集团,9.59,0.95,0.29,16.9,9.456565092879,0.2102596,64.21288552,-837,2145,69.6,2026-07-31,1.41,44.7,False
75,000415,渤海租赁,4.56,0.22,0.59,7.77,4.50376679286,0.2657416,63.5412475,-348,2349,79.6,2026-07-31,1.25,50.6,False
76,000417,合百集团,5.73,0.17,2.68,17.38,5.766104920427,0.2636296,58.40399159,-1535,3966,82.4,2026-07-31,-0.63,48.1,False
77,000419,通程控股,4.95,1.85,0.72,23.98,4.84637912274,0.1238288,64.37544,-929,2089,67.6,2026-07-31,2.14,43.5,False
78,000420,吉林化纤,3.82,1.33,0.94,86.17,3.784059818114,0.2433676,53.26666298,-382,4929,72.0,2026-07-31,0.95,38.4,False
79,000421,南京公用,5.47,1.67,0.75,10.85,5.362384233697,0.125406,59.71570332,-859,3589,72.0,2026-07-31,2.01,43.0,False
80,000422,湖北宜化,13.33,1.52,1.1,20.01,13.174152732838,0.2711884,62.67992948,-671,2619,81.6,2026-07-31,1.18,51.1,False
81,000423,东阿阿胶,55.81,2.18,0.65,19.63,54.839650813684,0.2080172,77.51886301,10,68,87.6,2026-07-31,1.77,67.9,False
82,000425,徐工机械,8.85,-1.23,0.52,12.6,8.925548497984,0.4035148,75.04889141,-109,174,86.0,2026-07-31,-0.85,64.5,False
83,000426,兴业银锡,31.56,-0.75,1.77,10.47,32.047526454711,0.4003088,71.01550923,147,570,86.0,2026-07-31,-1.52,61.1,False
84,000428,华天酒店,3.86,-8.31,8.56,-15.74,4.070653461418,0.3768556,72.38890645,2116,382,88.8,2026-07-31,-5.17,64.3,False
85,000429,粤高速Ａ,14.54,-0.14,0.43,16.82,14.282225460858,0.1417376,76.71526363,392,92,78.0,2026-07-31,1.8,59.8,False
86,000430,张家界,6.42,1.74,0.81,4.25,6.282381947776,0.208306,52.91906771,-691,4965,75.2,2026-07-31,2.19,39.8,False
87,000488,ST晨鸣,1.97,-1.01,0.26,-2.83,1.973571150465,0.2030912,54.98906517,-6,4694,72.4,2026-07-31,-0.18,39.8,False
88,000498,山东路桥,5.17,1.37,0.5,11.97,5.069646950513,0.2426496,68.42171305,462,1038,74.0,2026-07-31,1.98,50.6,False
89,000501,武商集团,7.31,0.97,0.51,11.39,7.180234133624,0.2368556,65.83897979,-1099,1684,73.6,2026-07-31,1.81,48.5,False
90,000503,国新健康,7.6,-1.55,1.61,-38.26,7.479676535238,0.3183484,68.75552801,2988,975,84.0,2026-07-31,1.61,57.8,False
91,000504,南华生物,7.73,2.11,0.65,57.45,7.50620613424,0.188763529412,63.49079083,-1324,2366,71.2,2026-07-31,2.98,45.2,False
92,000505,京粮控股,5.68,1.79,0.71,126.85,5.54084085283,0.2449724,57.72174475,434,4134,73.6,2026-07-31,2.51,42.5,False
93,000506,招金黄金,14.48,-0.28,6.92,17.95,14.154627787622,0.4183116,77.79382365,75,61,92.0,2026-07-31,2.3,71.6,False
94,000507,珠海港,5.1,0.79,0.51,17.2,5.08103848947,0.3850876,63.89305629,660,2233,79.2,2026-07-31,0.37,50.6,False
95,000509,华塑控股,2.98,1.71,1.36,-318.81,2.948124425438,0.2546484,63.93099171,1632,2218,66.4,2026-07-31,1.08,42.5,False
96,000510,新金路,13.46,-0.3,4.06,-42.96,13.868902974579,0.3176828,57.34024225,860,4214,74.0,2026-07-31,-2.95,42.4,False
97,000513,丽珠集团,31.16,0.1,0.43,11.99,30.926441076449,0.1846624,72.89204355,345,326,84.0,2026-07-31,0.76,61.2,False
98,000514,渝 开 发,3.94,3.14,0.83,25.74,3.794290329107,0.197266,62.16402841,-915,2781,73.2,2026-07-31,3.84,45.5,False
99,000516,国际医学,4.29,0.7,0.42,-49.67,4.240366385867,0.2998816,63.04597722,1051,2494,77.6,2026-07-31,1.17,48.9,False
100,000517,荣安地产,2.03,3.05,0.78,-56.79,1.91705203379,0.3235408,66.25624685,1617,1564,76.0,2026-07-31,5.89,50.4,False
101,000518,四环生物,3.66,1.39,1.44,-83.27,3.568202090986,0.3434528,62.5547494,-1719,2656,72.8,2026-07-31,2.57,45.5,False
102,000519,中兵红箭,14.25,-0.97,1.66,90.81,14.296899911739,0.3563404,72.04052206,910,427,85.2,2026-07-31,-0.33,61.4,False
103,000520,凤凰航运,3.78,2.16,0.72,289.65,3.703502479586,0.2221504,61.31938061,476,3078,77.2,2026-07-31,2.07,47.3,False
104,000521,长虹美菱,5.01,0.6,0.49,18.36,4.941132632566,0.2362772,62.80661317,-1766,2577,74.4,2026-07-31,1.39,46.7,False
105,000523,红棉股份,2.93,1.38,0.94,28.32,2.866725792734,0.199608,62.27995589,-2221,2733,73.2,2026-07-31,2.21,45.6,False
106,000524,岭南控股,9.38,1.96,0.68,47.82,9.131003561789,0.139567666667,61.18045586,-554,3125,84.8,2026-07-31,2.73,51.9,False
107,000525,红太阳,4.71,1.07,0.67,479.35,4.626042831308,0.2501064,50.35567416,-259,5124,76.4,2026-07-31,1.81,38.5,False
108,000526,学大教育,35.95,1.13,4.71,12.08,35.451853649831,0.291624,81.9035772,-4,10,85.6,2026-07-31,1.41,70.1,False
109,000528,柳    工,8.75,-0.34,0.65,7.36,8.745082937359,0.233242,66.56254026,-1140,1480,84.0,2026-07-31,0.06,55.9,False
110,000529,广弘控股,4.81,2.34,0.56,-319.55,4.703786973141,0.0967892,53.86683176,-631,4855,68.8,2026-07-31,2.26,37.1,False
111,000530,冰山冷热,4.96,2.27,1.09,49.35,4.851695988964,0.2368984,57.05794955,-382,4269,71.6,2026-07-31,2.23,40.9,False
112,000531,穗恒运Ａ,5.95,1.54,0.63,8.0,5.852194864913,0.209,59.80241473,-854,3556,65.2,2026-07-31,1.67,39.0,False
113,000532,华金资本,10.65,0.0,0.61,-170.28,10.658375549967,0.1076372,53.07341037,-487,4948,72.8,2026-07-31,-0.08,38.6,False
114,000533,顺钠股份,11.45,9.99,16.39,116.91,10.453707539242,0.2359352,59.4570889,-2442,3663,91.6,2026-07-31,9.53,54.5,False
115,000534,万泽股份,25.11,1.66,1.28,41.29,25.249725481758,0.2146312,63.41696652,-674,2377,72.0,2026-07-31,-0.55,45.7,False
116,000536,华映科技,3.21,1.26,0.76,-9.99,3.174879785519,0.3040032,59.58287366,21,3628,78.4,2026-07-31,1.11,46.7,False
117,000537,绿发电力,7.86,1.29,0.52,45.41,7.745644712685,0.2579288,63.08558804,-46,2481,72.8,2026-07-31,1.48,45.9,False
118,000538,云南白药,52.65,-0.4,0.43,11.53,52.337758255431,0.2870488,75.46913073,45,152,91.6,2026-07-31,0.6,69.1,False
119,000539,粤电力Ａ,5.78,3.58,2.12,-50.03,5.570605061973,0.2657612,64.68854759,859,2002,73.6,2026-07-31,3.76,47.6,False
120,000541,佛山照明,5.06,0.8,0.22,74.31,5.008532536136,0.2325392,65.64032036,-585,1740,74.0,2026-07-31,1.03,48.6,False
121,000543,皖能电力,8.11,1.63,0.66,10.35,7.964958503517,0.266752,65.45531755,-697,1790,78.0,2026-07-31,1.82,51.1,False
122,000544,中原环保,7.47,0.4,0.29,5.24,7.406491199192,0.2561712,64.99480585,456,1911,69.2,2026-07-31,0.86,45.0,False
123,000545,金浦钛业,2.5,0.81,1.32,-21.71,2.475251666821,0.2431864,48.79423001,-53,5171,79.6,2026-07-31,1.0,38.8,False
124,000546,金圆股份,4.45,2.06,1.02,-14.88,4.35665385016,0.2469368,62.93134727,-207,2535,71.2,2026-07-31,2.14,44.8,False
125,000547,航天发展,14.44,1.91,2.35,-52.39,14.224981453415,0.2718656,58.15702546,975,4037,73.2,2026-07-31,1.51,42.6,False
126,000548,湖南投资,4.4,2.09,0.82,35.55,4.253652692454,0.1860292,63.95089115,-290,2211,68.0,2026-07-31,3.44,43.5,False
127,000550,江铃汽车,17.02,0.06,0.33,9.94,16.964548466593,0.0730872,69.04577954,-398,911,78.0,2026-07-31,0.33,53.9,False
128,000551,创元科技,12.77,3.15,2.05,12.46,12.678412430245,0.266774,71.7924684,639,469,72.4,2026-07-31,0.72,52.0,False
129,000552,甘肃能化,2.63,1.54,0.8,53.94,2.58316549761,0.2672036,55.2410386,-33,4654,74.4,2026-07-31,1.81,41.1,False
130,000553,安道麦A,5.37,0.75,0.23,5.49,5.319169242375,0.1825104,55.23120116,-1116,4655,66.4,2026-07-31,0.96,36.7,False
131,000554,泰山石油,6.47,1.41,4.27,11.48,6.339289879715,0.2177428,59.2139413,-2933,3730,80.4,2026-07-31,2.06,47.6,False
132,000555,神州信息,11.06,-0.72,2.22,-29.18,11.2390041903,0.2252384,67.59082242,-1011,1233,88.8,2026-07-31,-1.59,60.0,False
133,000557,西部创业,3.75,1.35,0.37,26.28,3.660754716961,0.2376792,62.27706996,640,2735,68.8,2026-07-31,2.44,42.8,False
134,000558,天府文旅,3.46,1.47,1.0,271.08,3.376110336948,0.26284,53.68154553,-125,4885,77.6,2026-07-31,2.48,41.7,False
135,000559,万向钱潮,11.47,2.14,0.93,38.52,11.192082760625,0.2823488,69.10625364,1776,893,74.8,2026-07-31,2.48,51.7,False
136,000560,我爱我家,2.25,0.0,1.32,243.07,2.233354399391,0.3544788,56.19643723,-1767,4482,74.4,2026-07-31,0.75,41.8,False
