序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.82,-0.18,0.13,3.61,10.792600646175,0.3630028,60.92676555,210,2114,86.0,2026-07-15,0.25,52.4,False
2,000002,万  科Ａ,3.13,0.0,0.34,-1.57,3.108164932544,0.401322,59.96310518,853,2395,77.2,2026-07-15,0.7,46.3,False
3,000006,深振业Ａ,6.54,0.93,0.3,293.23,6.44229507081,0.3010668,53.0099792,101,4282,70.4,2026-07-15,1.52,37.3,False
4,000007,全新好,10.15,-0.59,0.48,-404.99,10.245719285271,0.2568824,50.09440687,-121,4793,60.0,2026-07-15,-0.93,30.1,False
5,000008,神州高铁,2.39,-5.53,1.25,-53.39,2.647313534716,0.223227318182,49.38410343,-2604,4878,82.8,2026-07-15,-9.72,40.9,False
6,000009,中国宝安,6.13,0.0,0.21,226.35,6.119289419048,0.2327228,53.40676862,-1280,4191,75.6,2026-07-15,0.18,40.4,False
7,000010,*ST美丽,1.74,1.75,0.49,18.47,1.722283726419,0.3249252,53.36337468,-2104,4197,66.8,2026-07-15,1.03,35.6,False
8,000011,深物业A,6.51,1.09,0.2,-35.61,6.417289058065,0.0569568,53.286103,462,4218,68.8,2026-07-15,1.44,36.7,False
9,000012,南  玻Ａ,3.83,-1.29,0.37,-29.53,3.831670468229,0.2339488,51.38741049,-337,4584,82.8,2026-07-15,-0.04,42.5,False
10,000014,沙河股份,9.44,3.85,1.75,-67.29,9.101437428398,0.0734272,48.47135103,-688,4966,69.2,2026-07-15,3.72,33.5,False
11,000016,*ST康佳A,2.64,1.54,1.26,-8.65,2.54642506951,0.4998088,64.00073923,1505,1341,72.8,2026-07-15,3.67,46.6,False
12,000017,深中华A,5.89,0.0,0.62,165.94,5.899731607363,0.169588,64.67408138,959,1198,81.6,2026-07-15,-0.16,52.8,False
13,000019,深粮控股,6.11,0.0,0.35,27.11,6.0798396148,0.105392,51.6239471,303,4545,68.8,2026-07-15,0.5,35.5,False
14,000020,深华发Ａ,10.49,0.58,0.42,142.72,10.434041161394,0.07304,58.05333375,-616,2953,65.6,2026-07-15,0.54,38.1,False
15,000021,深科技,45.0,-4.78,3.76,73.13,49.488467510993,0.391064,58.65834498,-1596,2770,93.2,2026-07-15,-9.07,54.7,False
16,000025,特  力Ａ,13.51,-0.15,0.18,43.75,13.495919234891,0.1833248,59.06850185,-1589,2644,74.4,2026-07-15,0.1,43.9,False
17,000026,飞亚达,18.17,-1.3,0.4,28.32,18.408825562322,0.2370276,64.58454558,-364,1211,71.2,2026-07-15,-1.3,46.0,False
18,000027,深圳能源,6.17,-0.48,0.14,5.87,6.156553290229,0.3528052,64.89515596,238,1141,76.8,2026-07-15,0.22,49.8,False
19,000028,国药一致,21.09,0.0,0.24,11.23,20.960774684051,0.2011988,65.08780662,-248,1108,75.2,2026-07-15,0.62,48.9,False
20,000029,深深房Ａ,21.4,-2.01,0.19,-1378.28,20.886611255083,0.288424,59.0189107,567,2651,64.0,2026-07-15,2.46,37.8,False
21,000030,富奥股份,4.18,1.95,0.48,14.41,4.073016990038,0.2138288,67.81483936,149,643,64.8,2026-07-15,2.63,43.9,False
22,000031,大悦城,2.18,0.0,0.26,-10.56,2.178664702407,0.28624,55.30668289,-929,3703,71.2,2026-07-15,0.06,39.4,False
23,000032,深桑达Ａ,17.87,-1.65,0.96,-65.88,18.708651472175,0.25867,56.64875588,-66,3326,84.8,2026-07-15,-4.48,48.0,False
24,000034,神州数码,27.01,4.89,3.45,29.09,25.964538945387,0.3525864,64.23417765,-319,1286,91.6,2026-07-15,4.03,58.8,False
