序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.48,0.29,0.12,3.5,10.442880999239,0.4355844,61.17702482,-211,1961,86.0,2026-07-10,0.36,52.6,False
2,000002,万  科Ａ,3.05,-1.93,0.5,-1.53,3.079970308939,0.3858892,61.31502206,2311,1910,75.2,2026-07-10,-0.97,46.1,False
3,000004,国华退,0.51,10.87,1.17,-2.64,0.459205638534,0.594513255814,66.69096005,27,622,76.4,2026-07-10,11.06,51.0,False
4,000006,深振业Ａ,6.94,-1.98,0.6,311.16,7.216637344231,0.318702,57.86758664,572,2991,74.4,2026-07-10,-3.83,43.1,False
5,000007,全新好,10.76,-3.06,0.53,-429.33,11.175367433643,0.2293932,56.19728329,761,3505,64.0,2026-07-10,-3.72,36.0,False
6,000008,神州高铁,,,0.0,-52.72,2.365237184699,0.191514,52.79373314,-254,4370,70.0,2026-07-10,,37.0,False
7,000009,中国宝安,6.06,-1.78,0.17,223.76,6.146274548483,0.2171292,55.11067637,662,3818,75.6,2026-07-10,-1.4,41.7,False
8,000010,*ST美丽,1.72,-2.27,0.52,18.26,1.754478224467,0.294407647059,51.57895752,-962,4622,66.8,2026-07-10,-1.97,34.5,False
9,000011,深物业A,6.33,-1.56,0.18,-34.63,6.429204322594,0.0961628,52.26369379,148,4492,69.6,2026-07-10,-1.54,36.4,False
10,000012,南  玻Ａ,3.99,-4.32,1.1,-30.77,4.236160253314,0.2403744,52.481226,-2004,4441,82.4,2026-07-10,-5.81,43.2,False
11,000014,沙河股份,9.06,-1.52,0.61,-64.58,9.24429687134,0.0910152,50.28915283,217,4833,68.8,2026-07-10,-1.99,34.6,False
12,000016,*ST康佳A,2.43,-2.41,0.35,-7.96,2.4738583483,0.278422745098,54.05254447,-428,4078,73.2,2026-07-10,-1.77,39.6,False
13,000017,深中华A,5.84,-2.5,1.54,164.53,6.003166791632,0.1760972,60.50621531,-1920,2162,85.2,2026-07-10,-2.72,51.6,False
14,000019,深粮控股,5.9,0.0,0.23,26.18,5.871375099967,0.10913,50.6339894,67,4780,68.4,2026-07-10,0.49,34.6,False
15,000020,深华发Ａ,10.35,-2.36,0.53,140.82,10.683031196719,0.0830364,58.25316124,-754,2855,65.6,2026-07-10,-3.12,38.2,False
16,000021,深科技,55.75,-3.73,4.54,90.61,60.605405255927,0.4842992,68.32312114,-228,411,95.6,2026-07-10,-8.01,65.3,False
17,000025,特  力Ａ,13.13,-1.57,0.2,42.52,13.358886433622,0.1974792,58.52590697,-284,2779,76.0,2026-07-10,-1.71,44.5,False
18,000026,飞亚达,18.27,-6.5,0.97,28.48,19.636498212705,0.3118712,67.69306342,1971,486,71.2,2026-07-10,-6.96,48.2,False
19,000027,深圳能源,6.01,-0.17,0.12,5.72,6.010126871992,0.3644208,61.19663797,834,1953,77.2,2026-07-10,-0.0,47.2,False
20,000028,国药一致,20.5,1.38,0.2,10.91,20.162356168994,0.188276,62.78666241,587,1499,73.6,2026-07-10,1.67,46.2,False
21,000029,深深房Ａ,23.33,3.14,0.42,-1502.58,23.06827816951,0.3021568,59.05390983,-1956,2602,71.6,2026-07-10,1.13,42.3,False
22,000030,富奥股份,3.96,-0.5,0.13,13.65,3.968282115399,0.1983308,64.10579057,1082,1153,65.2,2026-07-10,-0.21,41.8,False
23,000031,大悦城,2.14,-1.83,0.3,-10.37,2.180972938717,0.2554892,55.8712543,512,3605,70.0,2026-07-10,-1.88,39.1,False
24,000032,深桑达Ａ,21.31,-1.71,1.25,-78.56,22.621699411794,0.3536456,60.75738783,-1774,2087,90.0,2026-07-10,-5.8,54.7,False
25,000034,神州数码,29.21,-1.38,2.58,31.46,29.787031171545,0.4312364,76.01909988,300,33,94.0,2026-07-10,-1.94,71.5,False
26,000035,中国天楹,4.46,-2.62,0.41,24.05,4.559522037856,0.2360648,54.23201166,-345,4042,68.4,2026-07-10,-2.18,37.1,False
27,000036,华联控股,4.09,-0.24,0.49,55.13,4.136783696698,0.23461,59.10458437,-110,2579,64.8,2026-07-10,-1.13,38.3,False
28,000037,深南电A,8.16,-2.86,0.81,102.25,8.410962667334,0.2603928,55.98544909,1275,3561,73.6,2026-07-10,-2.98,41.2,False
29,000039,中集集团,7.82,-4.63,0.7,50.45,8.180626253735,0.2581076,58.72837633,-534,2711,74.4,2026-07-10,-4.41,43.7,False
30,000042,中洲控股,7.72,-0.77,0.18,-19.37,7.767324422572,0.1719644,51.00094156,-1567,4722,66.4,2026-07-10,-0.61,33.9,False
31,000045,深纺织Ａ,9.4,-2.29,0.21,53.6,9.739861816167,0.1689276,61.96069714,884,1727,68.0,2026-07-10,-3.49,42.1,False
32,000048,京基智农,24.72,2.57,3.94,-14.18,23.897365346916,0.5509536,66.19239296,456,712,77.2,2026-07-10,3.44,51.1,False
33,000049,德赛电池,23.92,0.17,0.41,28.78,24.101829502738,0.2017004,62.08758809,581,1702,77.6,2026-07-10,-0.75,48.2,False
