序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.28,0.71,0.46,3.77,11.173443213503,0.4429468,72.43839805,1544,263,89.6,2026-07-28,0.95,64.9,False
2,000002,万  科Ａ,3.24,2.86,1.21,-1.62,3.139877330291,0.37068,60.93819319,203,2967,77.6,2026-07-28,3.19,47.3,False
3,000006,深振业Ａ,6.41,-0.31,1.07,287.4,6.486981917374,0.2803344,64.87743487,321,1654,72.4,2026-07-28,-1.19,47.0,False
4,000007,全新好,9.17,1.89,1.64,-365.89,9.12953838011,0.1925272,55.16955594,182,4565,64.4,2026-07-28,0.44,35.5,False
5,000008,神州高铁,2.39,1.7,0.52,-53.39,2.351461334431,0.342566909091,59.83958225,1674,3320,75.2,2026-07-28,1.64,45.0,False
6,000009,中国宝安,6.51,3.5,0.86,240.38,6.243814342867,0.1857504,56.70527059,-1220,4240,79.2,2026-07-28,4.26,44.9,False
7,000010,*ST美丽,1.52,2.01,1.12,16.14,1.497926582164,0.3716232,55.75446705,80,4441,68.4,2026-07-28,1.47,38.1,False
8,000011,深物业A,7.73,2.38,5.63,-42.29,7.750734775264,0.2373572,58.99448689,-116,3589,85.6,2026-07-28,-0.27,50.5,False
9,000012,南  玻Ａ,3.87,1.31,0.77,-29.84,3.807991498447,0.2216372,57.8781168,-1395,3922,76.0,2026-07-28,1.63,44.0,False
10,000014,沙河股份,9.99,3.2,3.41,-71.21,9.680600612211,0.1696832,63.95519709,775,1953,76.8,2026-07-28,3.2,49.1,False
11,000016,*ST康佳A,2.55,-0.39,0.5,-8.35,2.567795909379,0.3542128,67.85694576,2820,906,74.0,2026-07-28,-0.69,50.2,False
12,000017,深中华A,5.93,-0.67,1.01,167.07,6.019777728221,0.1945988,71.5736685,1022,344,83.6,2026-07-28,-1.49,59.8,False
13,000019,深粮控股,6.05,1.34,0.71,26.84,5.975593903014,0.09364,53.52245843,-359,4846,69.6,2026-07-28,1.25,37.3,False
14,000020,深华发Ａ,10.33,1.47,0.71,140.54,10.262241043139,0.0743104,63.05803677,620,2269,67.2,2026-07-28,0.66,42.4,False
15,000021,深科技,37.45,-5.33,7.25,60.86,40.997266754319,0.3424572,62.92015875,-2159,2317,96.0,2026-07-28,-8.65,60.4,False
16,000025,特  力Ａ,14.22,0.71,0.55,46.05,14.194710183893,0.1970468,64.47975332,295,1778,78.0,2026-07-28,0.18,50.3,False
17,000026,飞亚达,15.72,-1.13,0.6,24.5,16.148115465853,0.157718,62.83591647,-874,2338,68.0,2026-07-28,-2.65,42.7,False
18,000027,深圳能源,6.4,1.59,0.27,6.09,6.29680336172,0.2245572,61.03067287,185,2933,76.8,2026-07-28,1.64,46.9,False
19,000028,国药一致,20.71,1.82,0.35,11.03,20.285761557104,0.1425944,68.59022128,1386,757,74.4,2026-07-28,2.09,51.0,False
20,000029,深深房Ａ,19.84,4.75,0.9,-1277.81,19.307491445981,0.1909776,59.00755448,-320,3586,65.2,2026-07-28,2.76,38.5,False
21,000030,富奥股份,4.22,1.44,0.34,14.55,4.160610024305,0.1842672,65.42899577,498,1497,69.2,2026-07-28,1.43,45.3,False
22,000031,大悦城,2.19,1.86,0.53,-10.61,2.149834049745,0.2045548,57.12704435,-1581,4132,73.2,2026-07-28,1.87,41.8,False
23,000032,深桑达Ａ,13.45,-4.95,2.24,-49.58,14.521363723727,0.2444572,58.7585798,-1813,3652,78.8,2026-07-28,-7.38,46.3,False
24,000034,神州数码,24.7,-4.37,3.94,26.6,26.00772883645,0.2927732,69.35981252,598,635,92.4,2026-07-28,-5.03,64.1,False
25,000035,中国天楹,4.88,2.52,1.48,26.31,4.714778037952,0.26894,69.27493745,1462,649,80.8,2026-07-28,3.5,56.0,False
26,000036,华联控股,3.96,0.76,1.18,53.37,3.968181565901,0.1776196,63.28896004,68,2200,71.2,2026-07-28,-0.21,45.1,False
27,000037,深南电A,9.2,0.77,4.86,115.28,9.112402197714,0.2012124,57.43490525,610,4037,82.8,2026-07-28,0.96,47.6,False
28,000039,中集集团,8.47,2.54,0.84,54.64,8.144247244095,0.2359692,64.2339583,478,1850,78.4,2026-07-28,4.0,50.4,False
29,000042,中洲控股,8.12,3.18,0.77,-20.38,7.884822649361,0.1810984,52.51628588,93,4955,62.4,2026-07-28,2.98,32.8,False
30,000045,深纺织Ａ,9.58,-3.82,2.45,54.62,9.80184655575,0.4138124,71.99495331,1099,300,69.6,2026-07-28,-2.26,50.1,False
31,000048,京基智农,17.69,-2.43,1.38,-10.15,18.388192615866,0.216314,59.64083234,-1126,3375,73.2,2026-07-28,-3.8,43.7,False
32,000049,德赛电池,24.78,1.18,1.47,29.82,24.402037179822,0.1979304,68.378389,1049,791,84.8,2026-07-28,1.55,58.0,False
33,000050,深天马Ａ,6.43,1.58,0.82,-28.13,6.302717068068,0.3364388,65.84459955,667,1375,76.8,2026-07-28,2.02,50.6,False
34,000055,方大集团,3.38,1.81,0.92,32.18,3.31354685891,0.198448,56.41678696,-26,4316,70.4,2026-07-28,2.01,39.7,False
35,000056,*ST皇庭,1.92,1.59,0.66,-17.57,1.914747386777,0.3488372,65.07144389,1970,1596,68.8,2026-07-28,0.27,44.8,False
36,000058,深 赛 格,6.44,2.71,0.69,80.23,6.249497457091,0.1306452,62.80679425,-137,2348,73.6,2026-07-28,3.05,46.2,False
