序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.82,0.46,0.11,3.61,10.795109266783,0.3453232,61.90597238,578,1536,86.4,2026-07-16,0.23,53.5,False
2,000002,万  科Ａ,3.17,-1.86,0.53,-1.59,3.173969376193,0.4514208,61.37047694,710,1685,78.4,2026-07-16,-0.13,48.1,False
3,000006,深振业Ａ,6.4,-2.44,0.35,286.95,6.565702632319,0.3118328,53.16872201,156,4126,69.6,2026-07-16,-2.52,37.0,False
4,000007,全新好,10.1,0.0,0.51,-403.0,10.158236318774,0.2269648,49.22163327,-104,4897,61.2,2026-07-16,-0.57,30.1,False
5,000008,神州高铁,2.34,-0.43,0.56,-52.27,2.394035183645,0.314879636364,49.99191874,99,4779,80.4,2026-07-16,-2.26,40.2,False
6,000009,中国宝安,6.24,0.48,0.31,230.41,6.180141445992,0.210688,53.03052534,30,4161,75.2,2026-07-16,0.97,39.9,False
7,000010,*ST美丽,1.79,-1.1,0.53,19.0,1.771081875151,0.408308,62.68445023,2866,1331,66.0,2026-07-16,1.07,41.4,False
8,000011,深物业A,6.62,-0.9,0.28,-36.22,6.662463764236,0.1129636,58.95635904,1784,2434,69.2,2026-07-16,-0.64,40.8,False
9,000012,南  玻Ａ,3.87,0.52,0.4,-29.84,3.840812153169,0.2147732,52.19176967,219,4365,81.6,2026-07-16,0.76,42.6,False
10,000014,沙河股份,9.84,-1.6,3.17,-70.14,9.706260140347,0.3094664,59.94009986,2853,2113,68.4,2026-07-16,1.38,41.0,False
11,000016,*ST康佳A,2.62,-2.6,0.66,-8.58,2.679539452026,0.3643824,60.1276388,-714,2055,78.4,2026-07-16,-2.22,47.1,False
12,000017,深中华A,5.67,-3.08,0.73,159.74,5.881915498942,0.1509448,62.55701324,-168,1366,80.8,2026-07-16,-3.6,50.5,False
13,000019,深粮控股,6.13,-0.33,0.33,27.2,6.104763848673,0.1564504,49.71281246,-289,4834,69.2,2026-07-16,0.41,34.4,False
14,000020,深华发Ａ,10.47,0.0,0.48,142.45,10.526143566576,0.0814316,62.9237606,1665,1288,65.2,2026-07-16,-0.53,41.0,False
15,000021,深科技,41.78,-3.6,2.86,67.9,44.643649290274,0.3938412,59.36470731,474,2296,92.0,2026-07-16,-6.41,54.6,False
16,000025,特  力Ａ,14.12,2.24,0.74,45.73,13.874258854172,0.2893552,67.25690889,2114,530,74.4,2026-07-16,1.77,50.0,False
17,000026,飞亚达,17.49,-2.83,0.48,27.26,18.033548130071,0.2578064,61.04151467,-566,1777,70.4,2026-07-16,-3.01,43.0,False
