序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.1,-1.37,0.1,3.37,10.178154870029,0.439902,65.23124402,471,1087,85.2,2026-06-29,-0.77,55.6,False
2,000002,万  科Ａ,3.0,-1.32,0.26,-1.5,3.019209421173,0.4512968,58.01714741,-569,2631,76.4,2026-06-29,-0.64,44.3,False
3,000004,国华退,0.34,9.68,1.45,-1.76,0.299738569804,0.579544883721,68.10114348,-14,651,66.8,2026-06-29,13.43,45.5,False
4,000006,深振业Ａ,7.4,0.95,0.26,331.78,7.285732181284,0.348784,58.58919435,634,2493,72.4,2026-06-29,1.57,42.4,False
5,000007,全新好,12.29,0.0,0.29,-490.38,12.373158640227,0.2875988,52.35911298,-226,4090,65.6,2026-06-29,-0.67,34.3,False
6,000008,神州高铁,2.31,-1.7,0.33,-51.6,2.273576223061,0.3619204,56.49369451,1736,3033,69.2,2026-06-29,1.6,39.1,False
7,000009,中国宝安,6.16,0.33,0.17,227.46,6.111414353306,0.2526804,50.89989267,164,4400,75.6,2026-06-29,0.79,38.5,False
8,000010,*ST美丽,1.72,1.18,0.75,18.26,1.711752926072,0.299054901961,49.6204,-1634,4615,64.8,2026-06-29,0.48,32.2,False
9,000011,深物业A,6.53,-0.76,0.12,-35.72,6.587523492086,0.1059196,51.25264963,-506,4322,69.2,2026-06-29,-0.87,35.5,False
10,000012,南  玻Ａ,5.16,10.02,4.31,-39.79,4.722903383861,0.2675532,63.14379599,-779,1462,90.0,2026-06-29,9.25,56.8,False
11,000014,沙河股份,9.17,-0.11,0.39,-65.37,9.155283408436,0.0766372,48.32977912,-107,4797,67.2,2026-06-29,0.16,32.5,False
12,000016,*ST康佳A,2.27,3.65,0.77,-7.43,2.217680836491,0.339123333333,53.42778463,116,3847,70.8,2026-06-29,2.36,37.8,False
13,000017,深中华A,5.82,4.68,3.15,163.97,5.368133293654,0.2670844,66.99770046,407,829,68.8,2026-06-29,8.42,46.1,False
14,000019,深粮控股,5.72,-1.38,0.28,25.38,5.695628289452,0.1643024,53.19490677,-118,3907,67.2,2026-06-29,0.43,35.7,False
15,000020,深华发Ａ,10.92,1.49,0.65,148.57,10.696159330865,0.0462096,58.39411997,-1238,2541,65.2,2026-06-29,2.09,38.1,False
16,000021,深科技,60.49,2.77,7.47,98.31,57.463255345588,0.544292,74.79924582,333,160,95.6,2026-06-29,5.27,71.5,False
17,000025,特  力Ａ,13.38,0.45,0.65,43.33,13.523423082658,0.1516768,56.19510559,-2081,3105,79.2,2026-06-29,-1.06,44.5,False
18,000026,飞亚达,19.6,0.1,0.56,30.55,19.427503435801,0.2067832,60.05945023,-367,2140,69.6,2026-06-29,0.89,41.8,False
19,000027,深圳能源,6.21,-2.2,0.2,5.91,6.302368350349,0.3359564,61.86424028,983,1713,76.8,2026-06-29,-1.47,47.5,False
20,000028,国药一致,19.21,-0.98,0.09,10.23,19.283700706067,0.145792,62.47912214,-34,1595,70.4,2026-06-29,-0.38,44.0,False
21,000029,深深房Ａ,21.74,-1.45,0.4,-1400.18,22.772438633808,0.3239956,59.3967435,-670,2289,72.4,2026-06-29,-4.53,43.0,False
22,000030,富奥股份,3.89,-0.77,0.11,13.41,3.891208650561,0.1470764,59.54256338,-249,2254,66.4,2026-06-29,-0.03,39.5,False
23,000031,大悦城,2.13,-1.39,0.16,-10.32,2.150811809173,0.2366616,53.0158262,-1374,3941,74.4,2026-06-29,-0.97,39.4,False
24,000032,深桑达Ａ,24.94,3.57,1.88,-91.94,23.748276629369,0.3754308,55.80734134,874,3206,90.4,2026-06-29,5.02,50.4,False
25,000034,神州数码,26.81,3.87,1.52,28.88,26.063961713742,0.3232712,65.41288761,-661,1059,90.8,2026-06-29,2.86,59.4,False
26,000035,中国天楹,4.84,-0.82,0.24,26.1,4.874816839349,0.2908088,57.95789423,4,2647,68.0,2026-06-29,-0.71,39.4,False
27,000036,华联控股,4.46,-0.22,0.31,60.11,4.453751241539,0.2536276,62.38347463,966,1617,67.2,2026-06-29,0.14,41.9,False
28,000037,深南电A,8.61,-2.93,1.6,107.89,8.782733433412,0.2382532,48.6285801,5,4762,80.0,2026-06-29,-1.97,38.9,False
29,000039,中集集团,8.08,-1.34,0.23,52.13,8.152862453182,0.194396,51.2031212,159,4333,71.6,2026-06-29,-0.89,36.7,False
30,000042,中洲控股,8.18,-0.37,0.45,-20.53,8.052573597843,0.1986984,49.95531422,-544,4560,72.8,2026-06-29,1.58,36.4,False
31,000045,深纺织Ａ,10.47,5.23,0.89,59.7,9.932022511719,0.1684732,57.53360798,-376,2745,66.8,2026-06-29,5.42,38.4,False
32,000048,京基智农,21.74,2.5,2.39,-12.47,21.246588667208,0.3671724,61.63238182,285,1768,84.0,2026-06-29,2.32,51.8,False
33,000049,德赛电池,22.86,0.18,0.35,27.51,22.73451581795,0.2455188,60.05950312,-140,2139,74.4,2026-06-29,0.55,44.7,False
34,000050,深天马Ａ,9.95,4.96,1.6,-43.53,9.616708137369,0.29671,65.20152033,-511,1096,90.0,2026-06-29,3.47,58.7,False
35,000055,方大集团,3.4,2.1,0.75,32.37,3.31460981487,0.1843948,52.10866032,-199,4148,74.4,2026-06-29,2.58,38.8,False
36,000056,*ST皇庭,2.28,5.07,0.79,-20.86,2.166954353751,0.441838235294,67.94369654,-315,673,72.8,2026-06-29,5.22,49.5,False
37,000058,深 赛 格,6.14,0.66,0.16,76.49,6.063612558796,0.1437864,52.96859604,53,3948,71.2,2026-06-29,1.26,37.7,False
38,000059,华锦股份,3.74,-2.09,0.37,33.71,3.788657728696,0.1849512,59.49094605,1035,2266,69.6,2026-06-29,-1.28,41.4,False
39,000060,中金岭南,7.46,-4.6,1.86,16.45,7.876312322643,0.4017344,71.75817684,1010,323,91.6,2026-06-29,-5.29,65.7,False
40,000061,农 产 品,5.62,2.0,0.66,20.65,5.443266020906,0.2149668,64.16757828,1698,1267,68.8,2026-06-29,3.25,44.1,False
41,000062,深圳华强,30.37,2.26,0.98,39.53,29.962365349208,0.301598,64.32177996,-453,1233,89.6,2026-06-29,1.36,57.6,False
42,000063,中兴通讯,35.98,2.22,0.71,32.83,35.222771696162,0.4042616,57.96946733,-237,2641,86.8,2026-06-29,2.15,50.3,False
43,000065,北方国际,9.78,-2.3,0.48,25.71,10.030893697699,0.3303856,57.72686594,-159,2704,70.4,2026-06-29,-2.5,40.6,False
44,000066,中国长城,19.36,1.95,1.91,-186.72,18.702124688446,0.4146748,69.10124215,1206,545,91.6,2026-06-29,3.52,63.3,False
45,000068,华控赛格,2.78,-1.07,0.33,-38.52,2.810255921635,0.22741,49.64913421,-66,4610,73.2,2026-06-29,-1.08,36.3,False
46,000069,华侨城Ａ,1.62,-2.41,0.17,-2.38,1.623569990976,0.4171824,50.78845516,291,4423,72.0,2026-06-29,-0.22,36.6,False
47,000070,特发信息,20.25,-0.59,2.62,-461.06,20.85260935052,0.343834,54.93782311,-1535,3441,92.8,2026-06-29,-2.89,51.0,False
48,000078,ST海王,1.32,-1.49,0.76,59.91,1.334873380126,0.32772745098,50.51225793,-1122,4464,70.0,2026-06-29,-1.11,35.4,False
49,000088,盐 田 港,4.04,-0.98,0.08,15.42,4.034655649616,0.2612636,59.33334054,46,2313,72.0,2026-06-29,0.13,42.7,False
50,000089,深圳机场,6.06,-1.3,0.15,12.04,6.100141556608,0.2350876,58.39104774,-341,2542,72.4,2026-06-29,-0.66,42.3,False
51,000090,天健集团,3.04,-2.25,0.24,-60.91,3.094860947703,0.2452668,58.36457216,-1332,2548,67.6,2026-06-29,-1.77,39.5,False
52,000096,广聚能源,6.98,-0.29,0.28,75.35,6.944935825127,0.1055396,52.80077185,-93,3991,64.0,2026-06-29,0.5,33.8,False
53,000099,中信海直,14.33,-1.04,0.43,29.84,14.52845588541,0.2011568,55.42502389,-717,3308,82.0,2026-06-29,-1.37,45.4,False
54,000100,TCL科技,5.74,8.51,3.92,19.18,5.351802276787,0.4912388,71.18408207,-159,369,95.2,2026-06-29,7.25,67.8,False
55,000151,中成股份,10.56,-2.22,0.78,55.22,10.75458897954,0.2439528,60.59685888,694,2014,78.0,2026-06-29,-1.81,47.3,False
56,000153,丰原药业,5.1,-1.92,0.39,16.01,5.113741559453,0.1901624,63.77552593,1818,1344,67.2,2026-06-29,-0.27,42.9,False
57,000155,川能动力,11.85,-0.34,0.4,20.5,11.902421764049,0.2504428,55.15987361,357,3386,70.8,2026-06-29,-0.44,39.1,False
58,000156,华数传媒,6.39,-0.62,0.11,26.28,6.42869808753,0.1708964,63.49136389,415,1397,69.2,2026-06-29,-0.6,43.9,False
59,000157,中联重科,7.07,-1.94,0.21,17.29,7.14933355956,0.2727948,70.44219122,-13,416,82.8,2026-06-29,-1.11,58.3,False
60,000158,常山北明,12.77,0.31,0.41,-50.24,12.706854534,0.2368672,52.02429364,99,4163,72.8,2026-06-29,0.5,37.9,False
61,000159,国际实业,5.52,4.35,1.35,90.95,5.294567977477,0.2431716,54.57948212,-541,3544,68.8,2026-06-29,4.26,37.6,False
62,000166,申万宏源,4.48,0.45,0.17,11.9,4.433587241211,0.435074,66.42593526,463,914,81.6,2026-06-29,1.05,54.2,False
63,000301,东方盛虹,10.92,-3.36,0.09,12.6,11.291075239698,0.1618656,66.92622307,-535,842,74.8,2026-06-29,-3.29,50.1,False
64,000333,美的集团,76.09,-1.53,0.26,11.43,76.660228774983,0.4631508,82.19093994,80,8,92.0,2026-06-29,-0.74,75.6,False
65,000338,潍柴动力,27.45,4.81,0.98,19.27,26.299536696099,0.3373692,62.90014252,-530,1510,79.6,2026-06-29,4.37,50.1,False
66,000400,许继电气,21.57,-0.09,0.36,49.47,21.337552117898,0.331778,61.71219918,463,1745,78.8,2026-06-29,1.09,48.6,False
67,000401,金隅冀东,3.39,-1.17,0.07,-2.27,3.381226673507,0.232594,55.70157924,1169,3235,72.4,2026-06-29,0.26,40.3,False
68,000402,金 融 街,2.46,-1.99,0.38,5.33,2.51362173963,0.3490612,50.81679758,-530,4419,69.2,2026-06-29,-2.13,35.2,False
69,000403,派林生物,8.96,-2.29,0.36,92.69,9.067512292146,0.2566112,56.76320062,904,2973,66.0,2026-06-29,-1.19,37.5,False
70,000404,长虹华意,7.68,-4.71,1.88,11.58,7.980151548691,0.3273168,71.92973832,777,312,65.6,2026-06-29,-3.76,47.2,False
71,000407,胜利股份,3.7,0.27,0.39,22.62,3.678757783817,0.149224,54.94850591,-1541,3437,66.8,2026-06-29,0.58,36.7,False
