序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.06,-0.36,0.25,3.69,11.1256420033,0.3949212,65.80400251,602,850,89.2,2026-07-24,-0.59,58.7,False
2,000002,万  科Ａ,3.12,1.63,0.5,-1.56,3.105553132879,0.3575624,55.18669648,-95,3935,77.2,2026-07-24,0.47,42.6,False
3,000006,深振业Ａ,6.34,4.79,1.16,284.26,6.061852007365,0.22603,56.06075342,-1295,3692,70.0,2026-07-24,4.59,39.2,False
4,000007,全新好,9.21,-1.39,0.64,-367.49,9.280124798318,0.1437384,56.43795008,456,3583,62.4,2026-07-24,-0.76,35.2,False
5,000008,神州高铁,2.3,0.88,0.26,-51.38,2.29960901394,0.342561818182,52.39498707,-870,4616,73.2,2026-07-24,0.02,38.4,False
6,000009,中国宝安,6.24,2.63,0.77,230.41,6.13988674375,0.183972,54.63275259,-114,4096,77.6,2026-07-24,1.63,42.4,False
7,000010,*ST美丽,1.44,0.0,0.84,15.29,1.474938556965,0.3219116,54.08475197,-1516,4251,68.0,2026-07-24,-2.37,36.8,False
8,000011,深物业A,9.09,10.05,5.11,-49.73,8.159309936586,0.3449612,69.49763798,1000,366,82.0,2026-07-24,11.41,57.0,False
9,000012,南  玻Ａ,3.79,1.34,0.53,-29.22,3.746199758157,0.235036,56.83918888,-602,3451,75.6,2026-07-24,1.17,43.0,False
10,000014,沙河股份,9.24,5.12,2.0,-65.87,8.897917107644,0.1059388,57.51600612,100,3232,73.6,2026-07-24,3.84,42.3,False
11,000016,*ST康佳A,2.48,0.81,0.44,-8.12,2.435419559666,0.3048844,58.51358973,1056,2899,72.4,2026-07-24,1.83,42.4,False
12,000017,深中华A,5.81,0.17,1.58,163.69,5.83373030736,0.1807996,70.68948528,1093,252,86.4,2026-07-24,-0.41,61.1,False
13,000019,深粮控股,5.94,1.19,0.5,26.35,5.936852734723,0.1332864,50.3415673,-203,4957,69.2,2026-07-24,0.05,34.8,False
14,000020,深华发Ａ,10.02,2.87,0.85,136.33,9.818256347507,0.0730976,61.27161108,-608,2013,66.4,2026-07-24,2.05,40.7,False
15,000021,深科技,41.86,-0.31,8.95,68.03,40.979141058483,0.4022188,75.277134,2061,65,92.0,2026-07-24,2.15,69.3,False
16,000025,特  力Ａ,13.95,-1.34,0.68,45.18,14.074827736297,0.2187492,66.80974748,96,694,76.4,2026-07-24,-0.89,51.0,False
17,000026,飞亚达,16.56,3.95,0.89,25.81,15.900146550193,0.1765088,60.29266301,540,2299,66.4,2026-07-24,4.15,40.0,False
18,000027,深圳能源,6.36,0.47,0.23,6.05,6.421421293172,0.257152,61.52696905,-1035,1949,81.2,2026-07-24,-0.96,50.0,False
19,000028,国药一致,20.49,1.64,0.29,10.91,20.325254919325,0.1444804,66.24329315,848,782,74.0,2026-07-24,0.81,49.0,False
20,000029,深深房Ａ,19.38,0.73,0.34,-1248.18,19.513497063286,0.20651,56.99661643,313,3405,64.0,2026-07-24,-0.68,36.5,False
21,000030,富奥股份,4.17,0.97,0.22,14.38,4.170698988029,0.1720424,63.86505615,-259,1263,68.8,2026-07-24,-0.02,43.9,False
22,000031,大悦城,2.12,2.91,0.48,-10.27,2.088712147227,0.2482916,55.90755235,-582,3736,72.4,2026-07-24,1.5,40.5,False
23,000032,深桑达Ａ,14.46,2.19,2.11,-53.31,14.39098081226,0.2491944,58.82072431,-891,2812,76.8,2026-07-24,0.48,45.2,False
24,000034,神州数码,26.55,-0.45,3.32,28.6,27.022423673897,0.3549912,67.17354526,354,640,94.8,2026-07-24,-1.75,63.7,False
25,000035,中国天楹,4.62,1.09,1.14,24.91,4.810544036464,0.2920568,63.47747261,-656,1375,83.2,2026-07-24,-3.96,52.8,False
26,000036,华联控股,4.07,3.3,0.77,54.86,4.020802131211,0.2150632,62.61569625,571,1609,69.2,2026-07-24,1.22,43.3,False
27,000037,深南电A,8.99,0.22,4.81,112.65,9.207050792792,0.1927376,53.33385414,-1496,4427,88.0,2026-07-24,-2.36,46.9,False
28,000039,中集集团,8.16,0.87,0.65,52.64,8.204081094729,0.2608084,59.28024945,-1965,2653,80.0,2026-07-24,-0.54,47.4,False
29,000042,中洲控股,7.85,1.42,0.34,-19.7,7.800699215665,0.2016572,51.21285438,-787,4833,64.0,2026-07-24,0.63,32.8,False
30,000045,深纺织Ａ,8.97,2.63,0.52,51.15,8.798993191665,0.0914272,60.04799632,-706,2376,68.8,2026-07-24,1.94,41.3,False
31,000048,京基智农,18.21,0.94,1.2,-10.45,18.47666646864,0.2514084,62.4873942,924,1647,72.0,2026-07-24,-1.44,45.0,False
32,000049,德赛电池,24.7,4.53,2.11,29.72,23.799248547935,0.2030584,62.12555663,-174,1760,80.8,2026-07-24,3.78,50.2,False
33,000050,深天马Ａ,6.23,1.3,0.45,-27.25,6.22134279167,0.2532212,59.794743,-310,2466,76.8,2026-07-24,0.14,45.9,False
34,000055,方大集团,3.28,2.18,0.6,31.22,3.251564307389,0.1437892,54.81213175,-1284,4042,69.2,2026-07-24,0.87,37.9,False
35,000056,*ST皇庭,1.86,-1.06,0.89,-17.02,1.883041712926,0.2832188,57.32989872,-1712,3296,70.8,2026-07-24,-1.22,40.6,False
36,000058,深 赛 格,6.15,2.5,0.47,76.61,6.055774652953,0.0749796,57.02130739,-188,3392,73.6,2026-07-24,1.56,42.0,False
37,000059,华锦股份,4.51,0.22,0.77,40.66,4.540775989301,0.2629924,65.12494716,1064,973,76.8,2026-07-24,-0.68,50.0,False
38,000060,中金岭南,6.2,1.47,0.73,13.67,6.201050837614,0.3188812,63.26837701,-1103,1436,79.2,2026-07-24,-0.02,50.1,True
39,000061,农 产 品,5.61,1.26,0.42,20.62,5.600818255919,0.1809984,63.59266005,392,1340,72.8,2026-07-24,0.16,46.3,False
40,000062,深圳华强,21.85,1.11,1.13,28.44,21.823927055803,0.2392776,59.75763928,825,2483,79.6,2026-07-24,0.12,47.6,False
41,000063,中兴通讯,34.74,-0.74,1.78,31.7,35.210293437762,0.4306876,59.71719593,1203,2501,94.4,2026-07-24,-1.34,56.4,False
42,000065,北方国际,9.14,2.81,0.86,24.02,8.998850750545,0.2408072,61.41566069,-424,1973,74.0,2026-07-24,1.57,45.4,False
43,000066,中国长城,14.69,1.38,1.59,-141.68,14.695343636309,0.2920708,52.62117288,266,4568,80.0,2026-07-24,-0.04,42.1,False
44,000068,华控赛格,2.67,1.91,0.53,-36.99,2.621393129359,0.12687,49.19939158,-74,5048,70.8,2026-07-24,1.85,34.8,False
45,000069,华侨城Ａ,1.67,1.83,0.26,-2.45,1.6599007658,0.3258008,51.24443749,-101,4830,74.4,2026-07-24,0.61,38.1,False
46,000070,特发信息,13.46,3.54,2.93,-306.47,13.174864024587,0.1991644,51.00196159,-928,4860,79.2,2026-07-24,2.16,40.4,False
47,000078,ST海王,1.57,2.61,2.08,71.26,1.573944296851,0.276598,50.23090333,69,4972,80.8,2026-07-24,-0.25,40.6,False
48,000088,盐 田 港,4.33,0.0,0.27,16.53,4.348397057698,0.1762524,61.04234382,461,2091,74.4,2026-07-24,-0.42,45.4,False
49,000089,深圳机场,6.49,-0.76,0.43,12.89,6.595559266729,0.1471108,60.87362398,854,2132,75.2,2026-07-24,-1.6,45.8,False
50,000090,天健集团,3.26,0.62,0.29,-65.32,3.25396958504,0.2219972,60.31044561,162,2292,70.8,2026-07-24,0.19,42.7,False
51,000096,广聚能源,7.48,0.54,0.8,80.74,7.654033192973,0.1267036,59.37301915,14,2614,72.4,2026-07-24,-2.27,43.0,False
52,000099,中信海直,13.75,1.4,0.44,28.63,13.747069681142,0.1770396,59.04979237,547,2734,77.6,2026-07-24,0.02,45.8,False
53,000100,TCL科技,5.03,-0.2,1.22,16.81,5.059959890251,0.4178236,68.88323842,705,426,91.2,2026-07-24,-0.59,62.8,False
54,000151,中成股份,9.17,1.89,0.71,47.95,9.060525041076,0.1895516,60.11440419,-943,2357,75.2,2026-07-24,1.21,45.2,False
55,000153,丰原药业,5.35,2.88,0.87,16.79,5.277289063282,0.0760664,58.18596363,-64,3011,70.4,2026-07-24,1.38,41.0,False
56,000155,川能动力,11.85,1.63,1.91,20.5,11.91077808267,0.3040528,62.45264429,-1470,1660,90.0,2026-07-24,-0.51,56.2,False
57,000156,华数传媒,6.6,1.85,0.26,27.15,6.519134119204,0.092038,60.27089772,578,2309,70.8,2026-07-24,1.24,42.7,False
58,000157,中联重科,7.46,0.95,0.3,18.24,7.401846899398,0.2687748,68.11873562,-376,502,84.4,2026-07-24,0.79,57.5,False
59,000158,常山北明,12.52,3.13,0.98,-49.26,12.379699255875,0.2533096,62.3327398,119,1694,74.4,2026-07-24,1.13,46.4,False
60,000159,国际实业,5.11,1.59,0.73,84.19,5.150075447122,0.1570008,57.04035527,-484,3385,67.2,2026-07-24,-0.78,38.3,False
61,000166,申万宏源,4.64,0.0,0.13,12.33,4.669551803889,0.3369952,66.20269096,192,793,83.6,2026-07-24,-0.63,55.3,False
62,000301,东方盛虹,11.58,-0.17,0.18,13.36,11.841100242999,0.2118484,69.11936767,-303,405,87.2,2026-07-24,-2.21,60.3,False
63,000333,美的集团,84.19,-0.37,0.18,12.66,84.668913759366,0.3682876,75.09251511,54,69,94.4,2026-07-24,-0.57,70.9,False
64,000338,潍柴动力,28.19,2.06,0.89,19.74,27.607037434422,0.3275968,68.88242171,-317,427,81.6,2026-07-24,2.11,56.2,False
65,000400,许继电气,22.18,-0.05,1.11,50.86,22.698573293848,0.3012504,63.97396203,-1090,1223,88.8,2026-07-24,-2.28,56.8,False
66,000401,金隅冀东,3.55,0.85,0.12,-2.37,3.552869375448,0.126174,58.1697502,1134,3015,74.0,2026-07-24,-0.08,43.0,False
67,000402,金 融 街,2.39,1.27,0.47,5.18,2.384889434742,0.37258,54.54800724,247,4124,68.4,2026-07-24,0.21,37.3,False
68,000403,派林生物,9.73,3.07,0.89,100.65,9.538732582929,0.1915376,57.25653007,303,3315,64.4,2026-07-24,2.01,36.9,False
69,000404,长虹华意,7.45,3.04,0.82,11.24,7.412798533542,0.2025576,62.49734327,-1186,1642,71.2,2026-07-24,0.5,44.5,False
70,000407,胜利股份,3.82,1.06,0.73,23.35,3.839545518068,0.1168564,58.63709521,-1347,2852,70.4,2026-07-24,-0.51,41.3,False
71,000408,藏格矿业,79.08,2.34,0.41,19.71,77.824544671535,0.3551904,69.1989691,-325,400,84.8,2026-07-24,1.61,58.7,False
72,000409,云鼎科技,8.32,0.36,0.42,71.34,8.303000549986,0.1761176,65.36472028,170,928,74.8,2026-07-24,0.2,48.9,False
73,000410,沈阳机床,4.68,1.74,0.31,-91.6,4.673622432505,0.2545664,57.19624691,216,3332,74.0,2026-07-24,0.14,42.3,False
74,000411,英特集团,9.28,2.2,0.33,16.35,9.169537601624,0.1540984,65.82464158,383,846,67.6,2026-07-24,1.2,44.5,False
75,000415,渤海租赁,4.25,3.16,0.61,7.24,4.147327372735,0.2820436,56.71672723,454,3496,74.8,2026-07-24,2.48,42.4,False
76,000417,合百集团,5.91,-7.08,6.02,17.92,6.010143261796,0.3240264,71.43662262,1084,198,73.6,2026-07-24,-1.67,52.6,False
77,000419,通程控股,4.62,1.76,0.55,22.38,4.585163977173,0.1003932,57.95344597,-1700,3098,66.4,2026-07-24,0.76,38.5,False
78,000420,吉林化纤,3.64,1.68,0.83,82.11,3.63534161521,0.2675308,52.58965549,-1684,4579,72.0,2026-07-24,0.13,37.9,False
79,000421,南京公用,5.23,1.36,0.49,10.38,5.202120741723,0.0828464,58.8835431,-1401,2791,72.0,2026-07-24,0.54,42.4,False
80,000422,湖北宜化,12.96,0.78,1.17,19.45,13.237695217084,0.309342,61.91888724,-1461,1827,87.2,2026-07-24,-2.1,54.0,False
81,000423,东阿阿胶,51.56,1.34,0.47,18.13,51.293712612735,0.1388988,69.52300493,254,360,85.6,2026-07-24,0.52,59.5,False
82,000425,徐工机械,8.87,-0.22,0.32,12.63,8.909398514043,0.3769088,73.42128191,-29,111,84.4,2026-07-24,-0.44,62.0,False
83,000426,兴业银锡,32.29,2.93,1.67,10.72,31.696591346124,0.3974416,69.94392621,-301,313,93.2,2026-07-24,1.87,65.2,False
84,000428,华天酒店,3.23,6.25,2.67,-13.17,3.053616938982,0.1709796,58.97284924,-178,2765,70.8,2026-07-24,5.78,41.8,False
85,000429,粤高速Ａ,14.93,3.82,0.39,17.27,14.523635213989,0.1028548,73.022295,198,127,78.0,2026-07-24,2.8,57.0,False
86,000430,张家界,6.0,2.56,0.89,3.97,5.885069895998,0.14859627451,50.76873265,88,4903,73.2,2026-07-24,1.95,37.2,False
87,000488,ST晨鸣,1.9,0.0,0.17,-2.73,1.909102229848,0.272118,51.88661157,-854,4722,73.2,2026-07-24,-0.48,38.0,False
88,000498,山东路桥,4.95,0.41,0.29,11.46,4.956048353526,0.1407164,60.35164945,-17,2277,73.2,2026-07-24,-0.12,44.2,False
89,000501,武商集团,6.84,1.94,0.37,10.66,6.781687012769,0.2031812,59.16974888,802,2693,71.2,2026-07-24,0.86,42.1,False
90,000503,国新健康,6.48,4.52,1.39,-32.62,6.289973732015,0.2308264,52.26163054,171,4647,76.0,2026-07-24,3.02,39.7,False
91,000504,南华生物,7.57,2.44,1.04,56.26,7.559239891991,0.216394705882,63.97931559,1578,1220,71.2,2026-07-24,0.14,45.6,False
92,000505,京粮控股,5.38,2.48,0.46,120.15,5.305521509902,0.1288884,53.14372332,-1325,4461,73.2,2026-07-24,1.4,38.9,False
93,000506,招金黄金,12.36,2.66,4.68,15.32,12.303782002919,0.263868,64.94794102,-703,1012,93.2,2026-07-24,0.46,60.5,False
94,000507,珠海港,4.88,1.04,0.47,16.45,4.853807506368,0.2445252,59.56340639,1681,2542,77.6,2026-07-24,0.54,46.2,False
95,000509,华塑控股,2.86,4.0,1.81,-305.97,2.779170202126,0.1879104,60.09206485,-806,2365,71.6,2026-07-24,2.91,43.0,False
96,000510,新金路,14.65,1.03,3.2,-46.76,14.808317214546,0.260544,53.90759242,-1430,4288,78.8,2026-07-24,-1.07,42.5,False
97,000513,丽珠集团,30.26,1.0,0.45,11.64,30.293301063847,0.1750044,67.43933263,375,599,82.4,2026-07-24,-0.11,55.6,False
98,000514,渝 开 发,3.67,2.23,0.58,23.98,3.637471473131,0.110056,58.51060316,401,2900,72.0,2026-07-24,0.89,42.1,False
99,000516,国际医学,4.17,2.96,0.76,-48.28,4.108663323976,0.1871416,54.50634111,331,4130,72.8,2026-07-24,1.49,39.7,False
100,000517,荣安地产,1.67,1.21,0.44,-46.72,1.6687715429,0.2636956,55.90934055,-756,3735,66.8,2026-07-24,0.07,37.3,False
101,000518,四环生物,3.62,4.32,4.0,-82.36,3.490496619551,0.286601372549,62.9045667,2227,1534,70.4,2026-07-24,3.71,44.3,False
102,000519,中兵红箭,14.09,-0.56,2.89,89.79,14.282956880102,0.2900592,66.61205021,-314,729,84.0,2026-07-24,-1.35,56.0,False
103,000520,凤凰航运,3.8,0.0,1.29,291.18,3.780559708329,0.2734356,64.05930343,496,1201,75.6,2026-07-24,0.51,48.4,False
104,000521,长虹美菱,4.82,1.26,0.41,17.67,4.783702903268,0.2009492,61.19461156,472,2041,78.0,2026-07-24,0.76,47.7,False
105,000523,红棉股份,2.72,2.64,0.8,26.29,2.68573152078,0.1608604,57.69223118,-1708,3184,69.2,2026-07-24,1.28,39.9,False
106,000524,岭南控股,8.36,3.34,0.94,42.62,8.211470981885,0.159184,58.81150528,-1199,2814,80.4,2026-07-24,1.81,47.3,False
107,000525,红太阳,4.38,0.46,0.76,445.77,4.409467617069,0.2361316,46.21632314,-22,5166,72.8,2026-07-24,-0.67,33.6,False
108,000526,学大教育,32.64,0.49,1.79,10.97,32.765025124521,0.1764604,72.11973942,27,162,81.2,2026-07-24,-0.38,58.6,False
109,000528,柳    工,8.54,0.59,0.88,7.18,8.582843984226,0.3141604,64.87926147,-725,1023,83.6,2026-07-24,-0.5,54.2,False
110,000529,广弘控股,4.54,1.79,0.32,-301.62,4.486556954207,0.1088072,52.88369344,-774,4506,68.4,2026-07-24,1.19,36.2,False
111,000530,冰山冷热,4.71,1.95,0.81,46.86,4.657365750947,0.1813536,55.12462769,-1342,3950,76.4,2026-07-24,1.13,42.1,False
112,000531,穗恒运Ａ,5.79,1.22,0.49,7.79,5.834135897531,0.2501652,60.26951934,-1662,2311,70.8,2026-07-24,-0.76,42.7,False
113,000532,华金资本,10.09,3.06,0.7,-161.33,9.847552412494,0.1328684,52.61193476,20,4573,70.8,2026-07-24,2.46,37.2,False
114,000533,顺钠股份,10.51,10.05,9.24,107.31,9.55,0.399736,70.18326444,263,285,84.0,2026-07-24,10.05,59.0,False
115,000534,万泽股份,26.08,4.4,1.72,42.89,25.241850514587,0.1928828,68.52881414,-13,459,72.8,2026-07-24,3.32,49.9,False
116,000536,华映科技,3.06,3.03,0.88,-9.53,3.000346286433,0.2316024,53.53817915,-625,4382,76.8,2026-07-24,1.99,41.1,False
117,000537,绿发电力,7.56,2.16,0.55,43.67,7.590898690225,0.2525432,61.69576377,-1262,1900,76.0,2026-07-24,-0.41,46.9,False
118,000538,云南白药,51.25,0.49,0.28,11.22,51.363615004412,0.2125608,67.56570262,232,575,90.0,2026-07-24,-0.22,60.8,False
119,000539,粤电力Ａ,5.61,-0.88,2.11,-48.56,5.829913444283,0.2347756,62.35672766,-578,1681,84.4,2026-07-24,-3.77,52.6,False
120,000541,佛山照明,4.85,1.04,0.15,71.23,4.824643722043,0.2098764,59.62861744,-1148,2525,72.8,2026-07-24,0.53,43.4,False
121,000543,皖能电力,7.76,0.65,0.57,9.9,7.820401252168,0.3003572,67.74311282,-403,544,84.8,2026-07-24,-0.77,57.4,False
122,000544,中原环保,7.2,0.7,0.23,5.05,7.219495791005,0.1348288,58.29385444,-1589,2978,69.6,2026-07-24,-0.27,40.6,False
123,000545,金浦钛业,2.39,0.42,1.3,-20.76,2.39780619567,0.239722,49.08360502,-1515,5057,74.8,2026-07-24,-0.33,36.7,False
124,000546,金圆股份,4.17,3.73,1.42,-13.95,4.069917953263,0.1565384,56.66878197,-513,3507,71.2,2026-07-24,2.46,40.3,False
125,000547,航天发展,14.03,1.45,2.09,-50.9,14.188181105262,0.3016012,54.15629778,-468,4234,74.4,2026-07-24,-1.11,40.3,False
126,000548,湖南投资,4.11,1.48,0.68,33.21,4.074198120292,0.2001372,60.76157194,1287,2160,67.2,2026-07-24,0.88,40.8,False
127,000550,江铃汽车,16.3,0.62,0.27,9.52,16.322600349451,0.057814,64.80699081,-207,1040,75.6,2026-07-24,-0.14,49.0,False
128,000551,创元科技,12.75,1.76,1.7,12.44,12.499020306658,0.2312036,65.10150436,-207,976,79.6,2026-07-24,2.01,51.8,False
129,000552,甘肃能化,2.54,-0.39,1.02,52.1,2.598148882165,0.2517172,51.82233022,-787,4729,74.4,2026-07-24,-2.24,38.6,False
130,000553,安道麦A,5.11,0.39,0.13,5.23,5.126980316131,0.2232068,59.14384308,1205,2698,64.8,2026-07-24,-0.33,38.3,False
131,000554,泰山石油,6.11,-5.42,7.59,10.84,6.704457832953,0.2374652,63.86605241,-1171,1262,86.0,2026-07-24,-8.87,54.9,False
132,000555,神州信息,10.33,1.97,1.15,-27.25,10.327488182381,0.1918852,62.14272717,-817,1749,84.0,2026-07-24,0.02,52.2,False
133,000557,西部创业,3.55,0.85,0.23,24.88,3.559355255315,0.1153512,54.97483752,-1152,3998,69.6,2026-07-24,-0.26,38.3,False
134,000558,天府文旅,3.23,2.87,1.17,253.06,3.18795274734,0.2007712,47.3385726,-718,5138,75.6,2026-07-24,1.32,35.8,False
135,000559,万向钱潮,10.58,2.52,0.38,35.53,10.416001859749,0.21985,59.49089475,-1101,2570,73.6,2026-07-24,1.57,43.8,False
136,000560,我爱我家,2.13,1.91,1.45,230.11,2.133103581144,0.3263124,53.18308069,-1081,4457,73.2,2026-07-24,-0.15,38.9,False
137,000561,烽火电子,7.13,2.44,0.73,-28.94,7.083916034146,0.193196,58.34373021,-360,2965,76.4,2026-07-24,0.65,44.6,False
138,000563,陕国投Ａ,2.99,0.34,0.33,10.5,3.002879368717,0.2125648,61.13129099,750,2067,75.2,2026-07-24,-0.43,46.0,False
139,000564,供销大集,1.33,1.53,0.26,-44.0,1.337947289993,0.4717812,51.77533443,-1417,4738,75.2,2026-07-24,-0.59,38.9,False
140,000565,渝三峡Ａ,5.38,2.48,1.11,23.48,5.311177268158,0.1155656,54.12061989,-240,4239,68.8,2026-07-24,1.3,37.2,False
141,000566,海南海药,5.3,9.96,6.1,-22.48,5.004426360503,0.2549632,52.06006042,138,4690,85.6,2026-07-24,5.91,44.6,False
142,000567,海德股份,5.54,2.03,0.49,6.45,5.486402587771,0.1928376,62.08916103,1015,1775,73.2,2026-07-24,0.98,45.4,False
143,000568,泸州老窖,83.77,0.92,0.31,8.31,83.960580652352,0.2791216,64.82188555,-164,1035,89.6,2026-07-24,-0.23,58.1,False
144,000570,苏常柴Ａ,4.81,1.48,0.86,11.41,4.764593457271,0.1708552,61.33030139,48,1995,67.2,2026-07-24,0.95,41.2,False
