序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.51,-1.87,0.58,3.51,10.599810765132,0.3729264,65.75384058,-746,1554,85.6,2026-06-24,-0.85,56.3,False
2,000002,万  科Ａ,2.97,-3.88,1.58,-1.49,3.005380300504,0.308166,56.18720283,-1212,4088,76.4,2026-06-24,-1.18,42.9,False
3,000004,国华退,0.28,-9.68,3.42,-1.45,0.282945393991,0.259467191413,60.49961844,-1495,2958,64.4,2026-06-24,-1.04,39.0,False
4,000006,深振业Ａ,7.52,-4.33,2.1,337.16,7.5633153875,0.3575092,61.43176169,-857,2693,72.8,2026-06-24,-0.57,44.7,False
5,000007,全新好,13.63,3.1,2.27,-543.85,13.326518789967,0.3013128,60.09048636,1097,3062,63.6,2026-06-24,2.28,38.2,False
6,000008,神州高铁,2.41,-1.63,1.24,-53.83,2.383863231677,0.3309264,51.69341338,-251,4872,67.2,2026-06-24,1.1,34.7,False
7,000009,中国宝安,6.64,-1.92,0.94,245.18,6.631771071369,0.2795216,55.43224014,-746,4243,74.4,2026-06-24,0.12,41.2,False
8,000010,*ST美丽,1.91,-4.5,2.24,20.28,1.918958755605,0.323762156863,52.35271869,-1037,4803,64.4,2026-06-24,-0.47,33.7,False
9,000011,深物业A,7.01,-4.76,1.34,-38.35,7.088249372942,0.201114,60.82622681,-292,2865,68.8,2026-06-24,-1.1,41.8,False
10,000012,南  玻Ａ,4.63,-0.86,5.71,-35.7,4.672080173627,0.300916,64.69505003,-1314,1818,87.2,2026-06-24,-0.9,56.4,False
11,000014,沙河股份,9.61,-5.41,2.79,-68.5,9.709847011999,0.1630644,56.54979254,625,4014,67.2,2026-06-24,-1.03,38.0,False
12,000016,*ST康佳A,2.49,-4.96,1.71,-8.15,2.506087128626,0.305257254902,53.56997411,-637,4600,69.6,2026-06-24,-0.64,37.3,False
13,000017,深中华A,5.22,-1.32,1.86,147.06,5.224654407037,0.107834,62.15584883,327,2483,68.0,2026-06-24,-0.09,42.3,False
14,000019,深粮控股,5.89,-3.44,1.91,26.13,5.934150249062,0.2077716,53.17489863,-174,4670,66.0,2026-06-24,-0.74,35.1,False
15,000020,深华发Ａ,11.26,-4.17,2.66,153.2,11.235914688597,0.0935888,66.2939784,3,1433,64.0,2026-06-24,0.21,42.4,False
16,000021,深科技,50.27,10.0,12.13,81.7,47.987169146411,0.5248448,78.90596399,709,89,94.8,2026-06-24,4.76,74.8,False
17,000025,特  力Ａ,15.53,-2.27,3.11,50.29,15.940403871647,0.2323968,63.19288542,-1068,2214,80.8,2026-06-24,-2.57,51.1,False
18,000026,飞亚达,21.82,0.79,4.04,34.01,21.581497464922,0.2745228,66.32101419,-912,1425,71.2,2026-06-24,1.11,47.2,False
19,000027,深圳能源,6.75,-1.6,0.83,6.43,6.758996874521,0.3239208,63.0863382,-1008,2237,80.4,2026-06-24,-0.13,50.7,False
20,000028,国药一致,19.9,-2.45,0.7,10.6,20.095165976357,0.2180412,64.00522957,-1488,1994,69.6,2026-06-24,-0.97,44.5,False
21,000029,深深房Ａ,26.15,-9.98,0.61,-1684.2,26.285354769594,0.4024776,66.56591036,-895,1370,72.4,2026-06-24,-0.51,48.2,False
22,000030,富奥股份,4.2,-2.33,0.53,14.48,4.237076335223,0.222142,62.95856634,-314,2270,64.4,2026-06-24,-0.88,40.5,False
23,000031,大悦城,2.24,-5.08,1.09,-10.85,2.256388444507,0.314164,61.22267385,-217,2762,74.0,2026-06-24,-0.73,45.3,False
24,000032,深桑达Ａ,25.34,9.98,9.17,-93.42,24.851812853655,0.5452904,67.26139896,2282,1237,82.0,2026-06-24,1.96,55.2,False
25,000034,神州数码,25.4,1.03,3.55,27.36,24.983364769453,0.3056376,66.99905173,467,1291,80.4,2026-06-24,1.67,53.9,False
26,000035,中国天楹,5.02,-0.79,1.35,27.07,5.004338280603,0.2934508,61.58956333,-735,2646,67.2,2026-06-24,0.31,41.4,False
27,000036,华联控股,4.96,0.0,1.76,66.85,4.938915066709,0.2975932,67.2021348,997,1248,66.4,2026-06-24,0.43,44.6,False
28,000037,深南电A,9.56,-3.73,7.67,119.8,9.512828228858,0.2028464,53.75904911,-711,4570,80.4,2026-06-24,0.5,43.2,False
29,000039,中集集团,8.77,2.81,2.63,56.58,8.776112053023,0.2531892,61.37176827,2014,2716,70.8,2026-06-24,-0.07,43.5,False
30,000042,中洲控股,9.85,-0.51,1.81,-24.72,10.040263229832,0.2430336,62.52247497,-93,2388,76.0,2026-06-24,-1.9,47.5,False
