序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.52,0.48,0.11,3.51,10.437701220963,0.419556,63.39454145,-749,1114,85.2,2026-07-07,0.79,54.0,False
2,000002,万  科Ａ,2.98,-0.33,0.22,-1.49,3.000893509391,0.3486968,51.96032001,132,4268,74.0,2026-07-07,-0.7,38.5,False
3,000004,国华退,0.37,-7.5,0.89,-1.92,0.400761759973,0.458508837209,66.51462585,961,579,72.8,2026-07-07,-7.68,48.4,False
4,000006,深振业Ａ,6.75,-0.74,0.28,302.64,6.876667784415,0.2969244,52.73023357,-50,4077,72.4,2026-07-07,-1.84,38.2,False
5,000007,全新好,11.42,-1.47,0.81,-455.67,12.09001277124,0.3146128,53.73446077,-1870,3823,65.6,2026-07-07,-5.54,35.2,False
6,000008,神州高铁,,,0.0,-52.72,2.365237184699,0.191514,54.68474454,941,3562,69.6,2026-07-07,,38.1,False
7,000009,中国宝安,6.2,-0.96,0.15,228.93,6.312099777253,0.1755036,51.68277694,-262,4326,74.4,2026-07-07,-1.78,38.5,False
8,000010,*ST美丽,1.78,-2.73,0.5,18.9,1.798418158461,0.315756078431,61.98982813,2603,1394,66.0,2026-07-07,-1.02,40.9,False
9,000011,深物业A,6.33,-0.63,0.15,-34.63,6.413877023769,0.1152424,50.73399777,-20,4510,67.2,2026-07-07,-1.31,34.1,False
10,000012,南  玻Ａ,4.28,1.18,1.12,-33.0,4.360585307836,0.2366272,55.14600229,-402,3404,87.2,2026-07-07,-1.85,48.1,False
11,000014,沙河股份,8.92,-0.78,0.39,-63.59,9.071168517333,0.0839704,47.45648894,36,4982,66.8,2026-07-07,-1.67,31.7,False
12,000016,*ST康佳A,2.44,1.67,0.53,-7.99,2.49043690251,0.287155882353,53.37826294,-839,3919,73.6,2026-07-07,-2.03,39.3,False
13,000017,深中华A,6.09,1.0,0.7,171.57,5.952572113304,0.175004,60.91506354,-604,1661,82.0,2026-07-07,2.31,50.0,False
14,000019,深粮控股,5.92,0.34,0.39,26.26,5.919517377742,0.1579684,49.16698239,-1233,4776,67.2,2026-07-07,0.01,33.0,False
15,000020,深华发Ａ,10.4,-2.16,0.56,141.5,10.635417420896,0.0828104,58.69778996,-473,2288,64.0,2026-07-07,-2.21,37.6,False
16,000021,深科技,50.8,-6.05,3.75,82.56,54.204737710849,0.4252292,62.59533154,686,1268,92.8,2026-07-07,-6.28,58.1,False
17,000025,特  力Ａ,13.59,0.3,0.27,44.01,13.585016525103,0.2446592,63.4796029,1871,1098,73.6,2026-07-07,0.04,46.7,False
18,000026,飞亚达,19.46,-5.12,1.26,30.33,20.838233478662,0.2822788,64.8001404,-540,849,78.4,2026-07-07,-6.61,50.8,False
