序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.13,0.45,0.31,3.72,11.05038661431,0.397312,63.20996459,-332,1452,89.6,2026-07-23,0.72,56.6,False
2,000002,万  科Ａ,3.1,-2.21,0.6,-1.55,3.136749098497,0.3427928,55.20737825,-2215,3840,80.8,2026-07-23,-1.17,44.6,False
3,000006,深振业Ａ,6.05,-1.47,0.59,271.26,6.080095025703,0.2969188,59.87895142,1647,2397,70.8,2026-07-23,-0.49,42.4,False
4,000007,全新好,9.08,-2.05,1.28,-362.3,9.16883827667,0.191622,54.48574114,544,4039,63.6,2026-07-23,-0.97,34.7,False
5,000008,神州高铁,2.29,-2.14,0.44,-51.15,2.312042655675,0.389765090909,55.50801479,55,3746,73.6,2026-07-23,-0.95,40.9,False
6,000009,中国宝安,6.11,-2.08,0.46,225.61,6.186691230264,0.2322216,54.66567807,-211,3982,77.6,2026-07-23,-1.24,42.4,False
7,000010,*ST美丽,1.47,-3.92,1.1,15.61,1.484990652446,0.3941916,58.81970321,1587,2735,68.0,2026-07-23,-1.01,40.0,False
8,000011,深物业A,8.26,9.99,4.58,-45.19,7.433896047667,0.4846684,63.51372558,1412,1366,72.0,2026-07-23,11.11,45.7,False
9,000012,南  玻Ａ,3.73,-2.1,0.51,-28.76,3.771018970024,0.2682188,58.47059946,972,2849,76.4,2026-07-23,-1.09,44.7,False
10,000014,沙河股份,8.85,-0.56,1.48,-63.09,8.763250080159,0.1036172,56.91613262,913,3332,80.0,2026-07-23,0.99,45.5,False
11,000016,*ST康佳A,2.42,-1.63,0.39,-7.92,2.453348016985,0.2866488,54.74640866,-1523,3955,73.2,2026-07-23,-1.36,40.1,False
12,000017,深中华A,5.92,4.23,3.64,166.79,5.514552226255,0.3234596,63.63297554,778,1345,78.8,2026-07-23,7.35,50.1,False
13,000019,深粮控股,5.92,-1.99,0.6,26.26,5.982086616953,0.1064104,51.1838728,-52,4754,70.0,2026-07-23,-1.04,35.8,False
14,000020,深华发Ａ,9.72,-2.41,0.65,132.24,9.805727474619,0.0749624,63.38535345,-54,1405,66.8,2026-07-23,-0.87,42.3,False
15,000021,深科技,40.34,3.2,5.98,65.56,39.514915617594,0.3625732,60.7853444,-610,2126,95.2,2026-07-23,2.09,57.9,False
16,000025,特  力Ａ,13.83,-0.79,0.49,44.79,13.919717196994,0.2646948,66.57893395,1191,790,76.8,2026-07-23,-0.64,51.1,False
17,000026,飞亚达,15.78,-0.88,0.65,24.6,15.868546893536,0.213106,58.49010228,-261,2839,67.2,2026-07-23,-0.56,39.3,False
18,000027,深圳能源,6.41,-2.29,0.39,6.1,6.503961220951,0.3135828,65.83227872,-410,914,81.2,2026-07-23,-1.44,53.5,False
19,000028,国药一致,20.24,-1.75,0.24,10.78,20.558056320078,0.1121196,62.5159363,-141,1630,76.0,2026-07-23,-1.55,47.5,False
20,000029,深深房Ａ,19.55,-2.01,0.25,-1259.13,20.008587877706,0.2139028,55.59491101,-575,3718,65.2,2026-07-23,-2.29,36.2,False
21,000030,富奥股份,4.16,-1.19,0.25,14.34,4.191670361092,0.2314572,65.3621485,-218,1004,70.4,2026-07-23,-0.76,46.0,False
22,000031,大悦城,2.07,-3.27,0.37,-10.03,2.112396608152,0.2154128,57.5114213,163,3154,72.8,2026-07-23,-2.01,41.9,False
23,000032,深桑达Ａ,14.34,-3.89,1.43,-52.87,15.066688459572,0.2644572,61.43394383,368,1921,76.8,2026-07-23,-4.82,47.2,False
24,000034,神州数码,26.93,-3.13,4.01,29.01,27.547951769636,0.3815572,65.41933235,-927,994,95.2,2026-07-23,-2.24,62.3,False
25,000035,中国天楹,4.69,-2.9,2.55,25.29,4.647939008503,0.3767064,66.95720123,1375,719,69.6,2026-07-23,0.9,46.6,False
26,000036,华联控股,4.01,-1.96,0.79,54.05,4.091586719334,0.2800536,60.59751287,-1522,2180,70.4,2026-07-23,-1.99,42.7,False
27,000037,深南电A,9.21,-7.62,6.45,115.41,10.003229827558,0.2106756,58.24026733,-2577,2931,91.2,2026-07-23,-7.93,53.1,False
28,000039,中集集团,8.18,-4.22,1.1,52.77,8.33219330369,0.3169952,67.15024275,755,688,78.0,2026-07-23,-1.83,52.4,False
29,000042,中洲控股,7.77,-1.65,0.4,-19.5,7.839881566591,0.2116392,54.46224055,527,4046,70.0,2026-07-23,-0.89,38.1,False
30,000045,深纺织Ａ,8.75,-2.13,0.38,49.89,8.814715064526,0.1076252,62.35695975,1182,1670,68.8,2026-07-23,-0.73,42.9,False
31,000048,京基智农,18.31,-3.02,1.15,-10.5,19.025703296456,0.30231,59.30883464,-1058,2571,72.4,2026-07-23,-3.76,42.9,False
32,000049,德赛电池,23.51,-3.21,0.99,28.29,24.138883425982,0.2419176,62.6639702,-378,1586,79.6,2026-07-23,-2.61,49.9,False
33,000050,深天马Ａ,6.2,-2.82,0.52,-27.12,6.301889043048,0.310356,60.67903258,-474,2156,77.6,2026-07-23,-1.62,47.1,False
34,000055,方大集团,3.22,-3.3,0.62,30.65,3.270369854967,0.1965892,58.76314378,1409,2758,68.8,2026-07-23,-1.54,40.4,False
