序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.08,0.91,0.25,3.7,10.932532974125,0.4217896,69.60119122,435,301,88.8,2026-07-20,1.35,61.8,False
2,000002,万  科Ａ,3.16,0.32,0.34,-1.58,3.126634720553,0.3976764,56.13506216,728,2920,80.4,2026-07-20,1.07,45.1,False
3,000006,深振业Ａ,5.79,-0.52,0.66,259.6,5.975353556397,0.2839392,50.97806672,-213,4320,69.6,2026-07-20,-3.1,35.5,False
4,000007,全新好,8.55,-5.52,0.88,-341.15,9.325017767311,0.2887552,51.46130858,595,4204,62.8,2026-07-20,-8.31,32.3,False
5,000008,神州高铁,2.25,-1.32,0.42,-50.26,2.295500031345,0.298273272727,48.17880439,-318,4811,81.2,2026-07-20,-1.98,39.1,False
6,000009,中国宝安,6.25,2.8,0.51,230.78,6.059060533354,0.1562292,54.1138869,775,3524,76.8,2026-07-20,3.15,41.6,False
7,000010,*ST美丽,1.41,-9.03,1.33,14.97,1.626860599104,0.2481436,51.56180441,-654,4171,68.0,2026-07-20,-13.33,35.1,False
8,000011,深物业A,7.04,3.07,0.83,-38.51,6.878871499907,0.209296,59.93504076,1963,1793,71.2,2026-07-20,2.34,42.7,False
9,000012,南  玻Ａ,3.77,1.07,0.4,-29.07,3.771338222104,0.1988648,51.92692336,-260,4098,82.0,2026-07-20,-0.04,42.6,False
10,000014,沙河股份,8.61,-4.12,1.59,-61.38,9.31100399384,0.1327732,50.52536818,-1674,4424,82.0,2026-07-20,-7.53,41.4,False
11,000016,*ST康佳A,2.36,-1.67,0.36,-7.73,2.464906394856,0.272332,54.97454589,-526,3265,77.6,2026-07-20,-4.26,42.7,False
12,000017,深中华A,5.12,-1.54,0.88,144.25,5.356059446553,0.1475484,54.85788717,-719,3298,78.4,2026-07-20,-4.41,43.0,False
13,000019,深粮控股,6.04,-0.17,0.38,26.8,6.075791394166,0.1430104,53.57464112,1064,3671,71.2,2026-07-20,-0.59,38.1,False
14,000020,深华发Ａ,9.55,-2.15,0.66,129.93,10.038354717965,0.0739624,56.85459796,-394,2688,66.8,2026-07-20,-4.86,38.0,False
15,000021,深科技,33.51,-4.64,3.02,54.46,37.298960465527,0.3760608,58.34487408,-192,2226,88.4,2026-07-20,-10.16,51.6,False
16,000025,特  力Ａ,13.93,1.02,0.27,45.11,13.748134108749,0.2240308,64.07128989,570,855,76.8,2026-07-20,1.32,49.2,False
17,000026,飞亚达,15.14,-3.13,0.75,23.6,16.150044969309,0.2307028,56.07750093,-2205,2937,68.8,2026-07-20,-6.25,38.6,False
18,000027,深圳能源,6.41,-0.16,0.3,6.1,6.34000542177,0.3148468,66.00295069,526,612,79.2,2026-07-20,1.1,52.3,False
19,000028,国药一致,21.17,0.76,0.25,11.27,20.99818050601,0.1435816,63.3533335,29,963,77.2,2026-07-20,0.82,48.9,False
20,000029,深深房Ａ,20.17,-1.37,0.17,-1299.06,21.060895442121,0.2957404,55.68971465,-1740,3055,64.4,2026-07-20,-4.23,35.9,False
21,000030,富奥股份,4.22,1.69,0.23,14.55,4.172713933352,0.1636144,61.52508247,-165,1369,70.8,2026-07-20,1.13,43.6,False
22,000031,大悦城,2.07,-0.96,0.21,-10.03,2.100728797353,0.287206,56.85365283,1327,2689,72.0,2026-07-20,-1.46,40.9,False
23,000032,深桑达Ａ,14.45,-2.63,1.26,-53.27,15.289479583933,0.2917652,60.217179,1876,1697,76.4,2026-07-20,-5.49,46.0,False
24,000034,神州数码,24.63,-1.28,1.39,26.53,25.211952733696,0.2976024,61.75074865,388,1311,88.4,2026-07-20,-2.31,54.6,False
25,000035,中国天楹,4.41,0.68,0.4,23.78,4.403180956428,0.22789,55.46224108,327,3110,69.2,2026-07-20,0.15,38.4,False
26,000036,华联控股,3.76,-9.18,1.87,50.68,4.230244716589,0.2545684,61.04551178,-592,1480,76.8,2026-07-20,-11.12,46.9,False
27,000037,深南电A,9.35,-7.61,7.46,117.16,9.742318712124,0.292838,68.10208197,-333,413,90.0,2026-07-20,-4.03,61.3,False
28,000039,中集集团,7.97,0.13,0.69,51.42,7.810497588124,0.3249124,64.15045608,1167,839,74.4,2026-07-20,2.04,47.7,False
29,000042,中洲控股,8.04,-3.13,0.78,-20.18,8.34154982362,0.30182,56.93627497,1848,2664,70.8,2026-07-20,-3.62,40.3,False
30,000045,深纺织Ａ,8.79,-0.9,0.34,50.12,8.957659064233,0.1234904,57.31039615,34,2551,68.8,2026-07-20,-1.87,39.4,False
31,000048,京基智农,17.87,-2.77,0.87,-10.25,19.003654284148,0.2883012,58.53370041,1199,2168,74.8,2026-07-20,-5.97,43.8,False
32,000049,德赛电池,24.07,1.3,0.67,28.96,23.427868453971,0.216654,62.89765083,1018,1055,82.0,2026-07-20,2.74,51.6,False
33,000050,深天马Ａ,6.16,0.16,0.31,-26.95,6.180004752863,0.2270968,55.78604879,255,3018,78.8,2026-07-20,-0.32,44.0,False
34,000055,方大集团,3.21,-0.62,0.49,30.56,3.289464250091,0.2095316,52.49028904,-1258,3960,71.2,2026-07-20,-2.42,37.4,False
35,000056,*ST皇庭,1.66,-1.78,0.84,-15.19,1.740775000222,0.3771312,57.29179783,1080,2561,70.4,2026-07-20,-4.64,40.3,False
36,000058,深 赛 格,6.12,0.49,0.17,76.24,6.117908386655,0.084208,55.00829108,201,3252,74.0,2026-07-20,0.03,40.7,False
37,000059,华锦股份,4.47,-0.89,0.61,40.3,4.487729566298,0.228884,62.38996393,1243,1167,78.0,2026-07-20,-0.4,48.7,False
38,000060,中金岭南,6.02,1.18,0.49,13.27,6.011322364489,0.331154,60.48335716,-33,1627,85.6,2026-07-20,0.14,51.8,True
39,000061,农 产 品,5.83,1.75,0.34,21.43,5.705037870571,0.1704784,67.06165484,1078,501,73.6,2026-07-20,2.19,49.4,False
40,000062,深圳华强,21.75,-0.68,0.51,28.31,22.314673983304,0.268716,54.53492365,-329,3404,81.2,2026-07-20,-2.53,44.3,False
41,000063,中兴通讯,33.47,-0.77,1.04,30.54,34.594835304542,0.4352408,58.46028235,-564,2190,94.4,2026-07-20,-3.25,55.2,False
42,000065,北方国际,9.0,0.0,0.31,23.66,8.996834996843,0.2406696,61.51864276,-528,1372,72.8,2026-07-20,0.04,44.8,False
43,000066,中国长城,14.32,-0.56,1.06,-138.11,14.744366440093,0.3256888,47.56663295,185,4901,83.6,2026-07-20,-2.88,39.8,False
44,000068,华控赛格,2.54,-1.93,0.5,-35.19,2.648580268243,0.2168172,46.04812511,-51,5016,70.4,2026-07-20,-4.1,32.4,False
45,000069,华侨城Ａ,1.69,0.0,0.17,-2.48,1.68300872522,0.313382,51.80084809,365,4126,74.4,2026-07-20,0.42,38.5,False
46,000070,特发信息,12.01,-6.54,2.13,-273.45,13.39665491953,0.2516828,46.10388893,58,5013,85.2,2026-07-20,-10.35,39.3,False
47,000078,ST海王,1.58,-10.23,2.89,71.71,1.794566937326,0.2183744,50.12015625,-227,4497,89.2,2026-07-20,-11.96,44.7,False
48,000088,盐 田 港,4.43,1.37,0.27,16.91,4.367742036329,0.1813468,60.20980179,-461,1701,74.8,2026-07-20,1.43,45.0,False
49,000089,深圳机场,6.8,1.8,0.55,13.5,6.681830811223,0.2265412,59.8516083,-428,1816,76.4,2026-07-20,1.77,45.7,False
50,000090,天健集团,3.25,1.25,0.25,-65.12,3.257379771787,0.240758,59.77827918,-281,1836,71.6,2026-07-20,-0.23,42.8,False
51,000096,广聚能源,7.69,-1.54,0.9,83.01,7.880157110283,0.1817728,61.46881592,-1132,1389,73.6,2026-07-20,-2.41,45.2,False
52,000099,中信海直,13.94,1.98,0.48,29.03,13.607122104228,0.1478936,57.45861782,876,2494,77.2,2026-07-20,2.45,44.4,False
53,000100,TCL科技,5.08,2.21,1.27,16.97,5.011582452996,0.4820776,67.61546981,125,449,90.0,2026-07-20,1.37,60.9,False
54,000151,中成股份,8.74,-2.67,0.74,45.7,9.171891327113,0.165806,56.58698868,-7,2786,75.2,2026-07-20,-4.71,42.6,False
55,000153,丰原药业,5.32,-2.56,0.69,16.7,5.518582273073,0.0851444,56.29330749,316,2876,73.2,2026-07-20,-3.6,41.2,False
