序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.26,-1.57,0.36,3.76,11.474730648053,0.3841892,69.29457164,-796,1084,90.8,2026-08-04,-1.87,62.9,False
2,000002,万  科Ａ,3.26,0.0,0.49,-1.63,3.273621063942,0.3294116,56.8632435,-969,4519,80.0,2026-08-04,-0.42,45.5,False
3,000006,深振业Ａ,6.75,0.75,0.5,302.64,6.672234817436,0.3452136,60.01090475,-70,3741,71.2,2026-08-04,1.17,42.7,False
4,000007,全新好,9.55,2.91,1.27,-381.05,9.27068486317,0.2271152,55.33415841,-61,4776,63.6,2026-08-04,3.01,35.2,False
5,000008,神州高铁,2.44,0.0,0.43,-54.5,2.450768792336,0.263589272727,54.13591025,-430,4922,76.8,2026-08-04,-0.44,41.6,False
6,000009,中国宝安,7.66,-3.16,1.55,282.84,7.887068019637,0.2511264,63.28853515,-1838,2765,91.6,2026-08-04,-2.88,58.0,False
7,000010,*ST美丽,1.57,-2.48,2.52,16.67,1.622337404839,0.3440144,57.10860764,-2391,4475,68.0,2026-08-04,-3.23,38.8,False
8,000011,深物业A,8.09,1.13,0.94,-44.26,8.065917015364,0.1230608,57.55826125,-83,4377,76.0,2026-08-04,0.3,43.7,False
9,000012,南  玻Ａ,3.93,-0.51,0.67,-30.3,3.961403562765,0.176122,57.87513138,-244,4290,74.0,2026-08-04,-0.79,42.8,False
10,000014,沙河股份,10.11,0.1,1.19,-72.07,10.134800985192,0.1157048,54.37945969,-803,4888,77.2,2026-08-04,-0.24,42.0,False
11,000016,*ST康佳A,2.61,1.16,0.69,-8.55,2.564920468427,0.3530888,59.57162049,-1308,3877,72.8,2026-08-04,1.76,43.4,False
12,000017,深中华A,6.16,1.48,1.2,173.55,6.078144548359,0.16918,64.17171664,-33,2517,74.8,2026-08-04,1.35,48.0,False
13,000019,深粮控股,6.08,-0.49,0.56,26.97,6.135369624133,0.1500548,54.86433137,-16,4834,70.8,2026-08-04,-0.9,38.8,False
14,000020,深华发Ａ,10.88,0.28,0.85,148.03,10.860446068389,0.1255928,67.57819325,351,1494,68.0,2026-08-04,0.18,46.0,False
15,000021,深科技,38.23,4.63,5.44,62.13,35.894983984136,0.3850456,70.31068742,2520,857,86.4,2026-08-04,6.51,60.7,False
16,000025,特  力Ａ,15.29,-1.61,1.38,49.52,15.425340934387,0.2474452,75.1962479,-200,233,86.4,2026-08-04,-0.88,65.0,False
17,000026,飞亚达,16.59,1.53,1.43,25.86,15.97110789821,0.221064,69.60908479,2586,1004,66.4,2026-08-04,3.88,46.2,False
18,000027,深圳能源,6.45,-1.07,0.3,6.14,6.541583021406,0.2902156,62.37222725,-868,3049,76.0,2026-08-04,-1.4,47.4,False
19,000028,国药一致,20.68,-0.72,0.34,11.01,20.947615716309,0.1654928,67.5324302,-266,1513,74.8,2026-08-04,-1.28,50.5,False
20,000029,深深房Ａ,21.87,1.39,0.2,-1408.55,21.246974957273,0.2871088,66.92747508,405,1695,67.2,2026-08-04,2.93,45.0,False
21,000030,富奥股份,4.29,-0.46,0.23,14.79,4.323240762382,0.20289,71.2865415,-215,675,70.0,2026-08-04,-0.77,49.9,False
22,000031,大悦城,2.23,-0.45,0.35,-10.81,2.237804131829,0.2625488,56.38474091,-783,4606,70.0,2026-08-04,-0.35,39.5,False
23,000032,深桑达Ａ,14.54,4.45,2.55,-53.6,13.75712075093,0.334864,66.41155326,2577,1862,82.0,2026-08-04,5.69,54.5,False
24,000034,神州数码,26.1,4.82,4.42,28.11,24.746813669921,0.3599532,72.37051939,1730,509,86.0,2026-08-04,5.47,62.2,False
25,000035,中国天楹,5.16,2.79,1.46,27.82,5.057543152998,0.2383632,63.34926847,-1149,2747,79.2,2026-08-04,2.03,50.2,False
26,000036,华联控股,4.16,1.46,0.92,56.07,4.096313263705,0.2434148,66.48886713,316,1837,71.6,2026-08-04,1.55,47.6,False
27,000037,深南电A,10.03,-0.69,7.1,125.69,10.133960172254,0.2383784,62.18119707,-2746,3115,91.6,2026-08-04,-1.03,57.0,False
28,000039,中集集团,8.64,0.47,0.63,55.74,8.628949692163,0.2035636,59.99401472,115,3746,79.2,2026-08-04,0.13,47.5,False
29,000042,中洲控股,8.28,0.61,0.29,-20.78,8.204822522308,0.2030244,57.10536855,529,4476,63.6,2026-08-04,0.92,36.3,False
30,000045,深纺织Ａ,9.88,0.3,0.65,56.33,9.779912589834,0.1870436,68.97593961,880,1164,81.2,2026-08-04,1.02,56.0,False
