序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.37,-0.48,0.16,3.46,10.486560172447,0.417334,62.42362364,277,1562,84.8,2026-06-25,-1.11,52.9,False
2,000002,万  科Ａ,2.97,0.68,0.3,-1.49,2.940126988775,0.348362,57.11086988,1283,2931,75.2,2026-06-25,1.02,42.9,False
3,000004,国华退,0.25,-3.85,1.43,-1.3,0.251681412675,0.445886511628,57.01472277,35,2956,64.8,2026-06-25,-0.67,36.9,False
4,000006,深振业Ａ,7.37,0.14,0.37,330.44,7.349442491788,0.35376,56.43358167,-384,3130,72.4,2026-06-25,0.28,40.9,False
5,000007,全新好,12.66,-2.84,0.7,-505.14,13.165855847289,0.310324,53.09303034,-977,3966,65.6,2026-06-25,-3.84,34.8,False
6,000008,神州高铁,2.29,-2.14,0.44,-51.15,2.34315788034,0.265078,49.39237125,81,4670,67.2,2026-06-25,-2.27,33.2,False
7,000009,中国宝安,6.41,-2.58,0.25,236.69,6.565077227573,0.257012,52.90784529,290,4010,74.4,2026-06-25,-2.36,39.4,False
8,000010,*ST美丽,1.8,-1.1,0.5,19.11,1.834655815073,0.341993921569,56.16545648,1226,3187,64.0,2026-06-25,-1.89,35.9,False
9,000011,深物业A,6.75,-1.6,0.16,-36.93,6.834971065834,0.12406,54.19545087,-824,3705,68.8,2026-06-25,-1.24,37.3,False
10,000012,南  玻Ａ,5.02,5.24,3.47,-38.71,4.759201256785,0.3040392,71.97196096,1201,346,84.4,2026-06-25,5.48,60.7,False
11,000014,沙河股份,9.42,-1.67,0.55,-67.15,9.558991331942,0.1708016,50.93327369,-424,4430,66.8,2026-06-25,-1.45,34.0,False
12,000016,*ST康佳A,2.25,-5.06,0.93,-7.37,2.388018753021,0.36402627451,51.56487576,337,4304,69.2,2026-06-25,-5.78,35.7,False
13,000017,深中华A,4.98,-2.73,0.41,140.3,5.113815551562,0.071352,58.25958989,-91,2621,68.0,2026-06-25,-2.62,39.6,False
14,000019,深粮控股,5.67,-1.9,0.57,25.16,5.787269419597,0.166368,49.95768991,69,4577,66.0,2026-06-25,-2.03,33.0,False
15,000020,深华发Ａ,10.8,-2.44,0.72,146.94,11.124777700549,0.0666584,58.9570827,-924,2428,64.0,2026-06-25,-2.92,37.7,False
16,000021,深科技,54.53,2.5,4.84,88.62,53.107732508934,0.4574188,69.20126031,-506,565,95.6,2026-06-25,2.68,66.2,False
17,000025,特  力Ａ,14.28,1.06,0.66,46.24,14.483983898793,0.1891008,56.90944924,-816,2985,80.0,2026-06-25,-1.41,45.5,False
18,000026,飞亚达,20.4,-2.02,0.71,31.8,21.080247654996,0.2925816,63.35421626,-23,1381,70.8,2026-06-25,-3.23,44.9,False
19,000027,深圳能源,6.73,0.9,0.24,6.41,6.670348444261,0.3525828,59.65006698,178,2256,80.0,2026-06-25,0.89,47.7,False
