序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.93,1.39,0.15,3.65,10.815344948667,0.3482816,62.8332515,800,736,87.2,2026-07-17,1.06,54.8,False
2,000002,万  科Ａ,3.13,0.97,0.34,-1.57,3.150519705219,0.3673432,52.76437215,-1963,3648,80.8,2026-07-17,-0.65,42.6,False
3,000006,深振业Ａ,6.12,0.82,0.37,274.39,6.262704785048,0.2805404,51.13356207,19,4107,70.4,2026-07-17,-2.28,36.0,False
4,000007,全新好,9.78,3.93,0.96,-390.23,9.663270518249,0.2730236,47.76467099,98,4799,60.4,2026-07-17,1.21,28.8,False
5,000008,神州高铁,2.31,0.87,0.37,-51.6,2.324831532896,0.301546,49.47191165,286,4493,78.4,2026-07-17,-0.64,38.8,False
6,000009,中国宝安,6.1,0.83,0.19,225.24,6.173262377042,0.1816908,50.38070066,-138,4299,76.0,2026-07-17,-1.19,38.3,False
7,000010,*ST美丽,1.73,2.98,0.47,18.37,1.744575462223,0.2906464,53.18521258,-2186,3517,67.6,2026-07-17,-0.84,36.0,False
8,000011,深物业A,6.63,0.0,0.17,-36.27,6.660259768334,0.067808,52.42525749,-1322,3756,71.6,2026-07-17,-0.45,37.5,False
9,000012,南  玻Ａ,3.82,0.26,0.3,-29.46,3.848697619974,0.2334196,52.14151875,527,3838,80.4,2026-07-17,-0.75,41.9,False
10,000014,沙河股份,9.44,0.75,1.92,-67.29,9.730957612396,0.1665092,55.5935814,-637,2750,83.2,2026-07-17,-2.99,46.3,False
11,000016,*ST康佳A,2.53,0.4,0.4,-8.29,2.581474289925,0.3041024,55.62692032,-684,2739,77.6,2026-07-17,-1.99,43.2,False
12,000017,深中华A,5.52,0.73,0.71,155.52,5.611879607048,0.1761056,56.10534397,-1213,2579,77.6,2026-07-17,-1.64,43.5,False
13,000019,深粮控股,6.13,1.32,0.41,27.2,6.103295210017,0.1147616,48.19192315,99,4735,69.2,2026-07-17,0.44,33.3,False
14,000020,深华发Ａ,10.23,2.4,0.86,139.18,10.248183393274,0.0756816,56.84707968,-1006,2294,65.2,2026-07-17,-0.18,37.1,False
15,000021,深科技,38.16,-2.18,2.93,62.02,40.673792304277,0.367918,57.5957312,262,2034,88.0,2026-07-17,-6.18,50.7,False
16,000025,特  力Ａ,13.72,0.59,0.27,44.43,13.948315761225,0.2325608,59.62605321,-895,1425,76.0,2026-07-17,-1.64,45.3,False
17,000026,飞亚达,16.81,-0.77,0.36,26.2,17.166608888754,0.2597172,62.84714565,1045,732,70.4,2026-07-17,-2.08,44.2,False
18,000027,深圳能源,6.29,1.45,0.27,5.99,6.228749768622,0.3049788,60.71092446,1286,1138,76.4,2026-07-17,0.98,46.4,False
19,000028,国药一致,21.1,1.54,0.23,11.23,21.127432982256,0.206382,61.3638292,-804,992,76.4,2026-07-17,-0.13,46.9,False
20,000029,深深房Ａ,21.26,0.66,0.19,-1369.26,21.570625586547,0.3051532,60.04913866,433,1315,61.2,2026-07-17,-1.44,36.8,False
21,000030,富奥股份,4.2,0.48,0.23,14.48,4.234610617582,0.2002216,60.46610431,-818,1204,71.2,2026-07-17,-0.82,43.1,False
22,000031,大悦城,2.12,1.92,0.32,-10.27,2.132722667845,0.2332464,51.49839568,-232,4016,70.4,2026-07-17,-0.6,36.3,False
