序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.06,0.73,0.24,3.69,10.880700160995,0.368818,63.5009301,402,1120,88.8,2026-07-22,1.65,56.4,False
2,000002,万  科Ａ,3.14,-1.57,0.74,-1.57,3.160956529292,0.3872444,61.26466105,2080,1625,78.8,2026-07-22,-0.66,48.3,False
3,000006,深振业Ａ,6.06,2.36,0.76,271.7,5.940243154073,0.2131028,52.32466633,-577,4044,70.0,2026-07-22,2.02,36.6,False
4,000007,全新好,9.1,0.66,0.9,-363.1,9.062602456745,0.1919568,49.82712832,515,4583,62.0,2026-07-22,0.41,30.9,False
5,000008,神州高铁,2.29,0.44,0.35,-51.15,2.274973549132,0.390247454545,53.39347747,1100,3801,73.2,2026-07-22,0.66,39.1,False
6,000009,中国宝安,6.22,1.97,0.49,229.67,6.109522202082,0.2173456,53.50699667,-42,3771,77.6,2026-07-22,1.81,41.5,False
7,000010,*ST美丽,1.46,2.1,1.21,15.5,1.435530628701,0.3301088,51.14963585,360,4322,67.2,2026-07-22,1.7,34.4,False
8,000011,深物业A,7.51,9.96,2.26,-41.08,6.722822391178,0.1822324,56.93000061,1363,2778,72.0,2026-07-22,11.71,41.0,False
9,000012,南  玻Ａ,3.76,0.8,0.46,-28.99,3.770298012162,0.20224,53.3018762,-1773,3821,81.6,2026-07-22,-0.27,43.5,False
10,000014,沙河股份,8.71,1.4,1.75,-62.09,8.647528270691,0.097052,51.51831081,-971,4245,79.6,2026-07-22,0.72,41.0,False
11,000016,*ST康佳A,2.44,-1.21,0.54,-7.99,2.472594163289,0.2795592,58.07721124,1095,2432,76.0,2026-07-22,-1.32,44.1,False
12,000017,深中华A,5.68,10.08,2.27,160.02,5.151310170684,0.1589456,59.30580006,1838,2123,77.6,2026-07-22,10.26,46.0,False
13,000019,深粮控股,5.96,0.68,0.49,26.44,5.896261214209,0.093904,49.21536888,192,4702,69.6,2026-07-22,1.08,34.3,False
14,000020,深华发Ａ,9.68,0.83,0.68,131.7,9.637051688997,0.0620396,62.37391979,160,1351,66.4,2026-07-22,0.45,41.4,False
15,000021,深科技,39.24,-2.44,4.88,63.77,41.147409138917,0.4063932,61.65166035,-1047,1516,90.4,2026-07-22,-4.64,55.7,False
16,000025,特  力Ａ,13.79,1.1,0.4,44.66,13.641319875225,0.1509276,59.8515197,-894,1981,76.8,2026-07-22,1.09,46.0,False
17,000026,飞亚达,15.89,-0.38,0.67,24.77,16.045627671363,0.2192084,57.65357049,-1292,2578,67.2,2026-07-22,-0.97,38.7,False
18,000027,深圳能源,6.51,0.46,0.35,6.2,6.413815492325,0.3087024,67.47050368,1627,504,80.4,2026-07-22,1.5,54.2,False
19,000028,国药一致,20.48,-0.63,0.27,10.9,20.528065328429,0.113042,61.77069605,14,1489,75.6,2026-07-22,-0.23,46.7,False
20,000029,深深房Ａ,20.03,-0.1,0.25,-1290.04,20.125951007531,0.2551132,55.69191115,246,3143,64.4,2026-07-22,-0.48,35.9,False
21,000030,富奥股份,4.2,1.2,0.3,14.48,4.121843320055,0.20956,65.3190156,115,786,70.4,2026-07-22,1.9,46.0,False
22,000031,大悦城,2.12,0.47,0.35,-10.27,2.089768845313,0.2631156,55.12964624,901,3317,71.6,2026-07-22,1.45,39.5,False
23,000032,深桑达Ａ,15.05,-3.53,1.51,-55.48,15.907961183537,0.27549,58.65071114,-1074,2289,77.6,2026-07-22,-5.39,45.5,False
24,000034,神州数码,27.2,-0.77,8.34,29.3,27.229906833581,0.4793132,75.73274862,604,67,87.6,2026-07-22,-0.11,66.3,False
25,000035,中国天楹,4.69,6.83,2.41,25.29,4.378633209327,0.219272,59.44044124,1624,2094,69.2,2026-07-22,7.11,41.1,False
26,000036,华联控股,4.1,0.0,1.25,55.26,4.008091147966,0.3199996,66.22377118,1820,658,70.4,2026-07-22,2.29,46.6,False
27,000037,深南电A,10.04,-2.62,9.66,125.81,9.832477598807,0.248946,69.06112535,1549,354,88.0,2026-07-22,2.11,60.8,False
28,000039,中集集团,8.25,2.1,0.73,53.23,8.090242162077,0.26742,61.94277965,434,1443,76.8,2026-07-22,1.97,47.6,False
29,000042,中洲控股,7.83,0.64,0.3,-19.65,7.80923148813,0.2214648,49.886816,225,4573,71.2,2026-07-22,0.27,35.5,False
30,000045,深纺织Ａ,8.74,0.81,0.39,49.83,8.751108761323,0.0958524,56.70314995,-1100,2852,68.4,2026-07-22,-0.13,38.8,False
31,000048,京基智农,18.85,-1.57,1.71,-10.81,19.481495713317,0.3213476,61.67601644,224,1513,79.2,2026-07-22,-3.24,48.8,False
