序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.53,-0.66,0.12,3.52,10.545504283299,0.409546,63.0354403,-81,1195,86.4,2026-07-08,-0.15,54.5,False
2,000002,万  科Ａ,3.0,0.0,0.22,-1.5,2.981622568536,0.3570332,56.55340677,1102,3166,75.2,2026-07-08,0.62,42.5,False
3,000004,国华退,0.42,10.53,1.73,-2.18,0.383032369423,0.495482325581,67.17152247,68,511,70.8,2026-07-08,9.65,47.6,False
4,000006,深振业Ａ,6.8,0.29,0.18,304.88,6.776453548307,0.2994328,54.02337965,158,3919,72.8,2026-07-08,0.35,39.3,False
5,000007,全新好,11.05,-1.34,0.32,-440.9,11.451367685424,0.2878584,53.99868728,-98,3921,66.4,2026-07-08,-3.5,35.9,False
6,000008,神州高铁,,,0.0,-52.72,2.365237184699,0.191514,54.82062546,-138,3700,70.0,2026-07-08,,38.4,False
7,000009,中国宝安,6.12,-0.65,0.13,225.98,6.17522494656,0.1710812,51.77808888,-155,4481,74.8,2026-07-08,-0.89,38.7,False
8,000010,*ST美丽,1.83,-1.08,0.66,19.43,1.816692727431,0.315449215686,60.65410321,-459,1853,67.2,2026-07-08,0.73,40.8,False
9,000011,深物业A,6.36,0.47,0.13,-34.79,6.327103615541,0.1395752,51.1785778,-85,4595,68.4,2026-07-08,0.52,35.0,False
10,000012,南  玻Ａ,4.23,1.2,0.65,-32.62,4.240672889401,0.2332948,53.78483426,-574,3978,82.0,2026-07-08,-0.25,44.1,False
11,000014,沙河股份,8.97,0.56,0.36,-63.94,8.927268921824,0.0765488,47.10575551,-93,5075,67.2,2026-07-08,0.48,31.7,False
12,000016,*ST康佳A,2.5,-0.79,0.33,-8.19,2.483721070518,0.316611568627,62.38870076,2550,1369,73.6,2026-07-08,0.66,45.9,False
13,000017,深中华A,6.35,4.79,2.75,178.9,6.071390364422,0.1675808,62.49947775,319,1342,77.6,2026-07-08,4.59,48.5,False
14,000019,深粮控股,5.87,-0.68,0.17,26.04,5.888990661517,0.1344752,49.52030562,-77,4853,68.0,2026-07-08,-0.32,33.7,False
15,000020,深华发Ａ,10.41,0.29,0.41,141.63,10.389279892156,0.1042352,58.14174373,-372,2660,64.4,2026-07-08,0.2,37.4,False
16,000021,深科技,53.9,5.42,3.84,87.6,51.73754974145,0.3892728,59.71184739,-939,2207,94.8,2026-07-08,4.18,56.6,False
