序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.43,-1.55,0.62,3.82,11.498950767725,0.5193252,77.80860663,1041,85,90.4,2026-07-30,-0.6,70.3,False
2,000002,万  科Ａ,3.34,0.3,0.79,-1.67,3.345213744289,0.348354,59.72772672,-1100,3259,79.2,2026-07-30,-0.16,47.3,False
3,000006,深振业Ａ,6.55,2.83,1.01,293.67,6.466042343538,0.2655568,60.20631149,-1003,3083,72.0,2026-07-30,1.3,43.3,False
4,000007,全新好,9.27,6.43,2.33,-369.88,8.907900025253,0.1927896,54.24538717,-382,4663,64.0,2026-07-30,4.06,34.7,False
5,000008,神州高铁,2.37,0.85,0.41,-52.94,2.361266614131,0.324487272727,59.40191184,611,3366,75.6,2026-07-30,0.37,44.9,False
6,000009,中国宝安,7.76,8.53,3.83,286.54,6.945358015822,0.382504,66.64436485,3095,1130,80.4,2026-07-30,11.73,53.6,False
7,000010,*ST美丽,1.55,2.65,1.21,16.46,1.526159372445,0.3866456,54.79081588,-1314,4569,67.6,2026-07-30,1.56,37.0,False
8,000011,深物业A,7.89,-1.25,2.17,-43.16,8.013631587142,0.1847112,60.98428202,-1792,2830,82.8,2026-07-30,-1.54,50.5,False
9,000012,南  玻Ａ,3.95,0.51,1.02,-30.46,3.928165980029,0.1916088,58.62230687,-2,3596,75.6,2026-07-30,0.56,44.3,False
10,000014,沙河股份,10.06,0.8,1.72,-71.71,10.183892080542,0.1727356,58.71185863,-1776,3572,78.8,2026-07-30,-1.22,46.3,False
11,000016,*ST康佳A,2.55,3.24,0.54,-8.35,2.519296024326,0.3194244,58.99630886,116,3482,73.2,2026-07-30,1.22,43.2,False
12,000017,深中华A,6.07,4.3,1.25,171.01,5.9554390677,0.1309616,66.14704113,271,1265,83.2,2026-07-30,1.92,55.0,False
13,000019,深粮控股,6.07,-0.16,0.6,26.93,6.097692332521,0.1624024,58.49168779,812,3634,70.0,2026-07-30,-0.45,40.9,False
14,000020,深华发Ａ,10.48,1.06,1.57,142.58,10.483152858589,0.1232468,69.19813333,437,679,67.6,2026-07-30,-0.03,46.8,False
15,000021,深科技,38.33,5.24,6.7,62.29,37.554983080547,0.3304664,61.08754928,-1753,2802,92.8,2026-07-30,2.06,56.7,False
16,000025,特  力Ａ,15.2,-2.81,2.91,49.22,15.247810990462,0.5060288,76.45830999,2041,131,74.0,2026-07-30,-0.31,56.6,False
17,000026,飞亚达,16.58,2.35,0.99,25.84,16.52714347145,0.2694384,69.81855478,946,607,67.6,2026-07-30,0.32,47.2,False
18,000027,深圳能源,6.45,-0.31,0.32,6.14,6.426233249628,0.2795344,62.06967602,49,2492,76.0,2026-07-30,0.37,47.2,False
19,000028,国药一致,20.82,-0.86,0.33,11.09,20.919719806999,0.1389772,68.08349893,311,853,74.8,2026-07-30,-0.48,50.9,False
20,000029,深深房Ａ,20.31,4.15,0.51,-1308.08,19.771919158146,0.2067684,60.03745445,-1840,3152,67.6,2026-07-30,2.72,40.6,False
21,000030,富奥股份,4.29,0.23,0.33,14.79,4.276795787237,0.2344096,69.34310554,878,662,68.8,2026-07-30,0.31,47.7,False
22,000031,大悦城,2.2,0.46,0.41,-10.66,2.204549109971,0.23648,58.32795614,-981,3683,72.4,2026-07-30,-0.21,42.2,False
23,000032,深桑达Ａ,13.48,9.5,3.89,-49.69,12.763901851893,0.2782852,54.19910846,-1742,4670,76.4,2026-07-30,5.61,41.4,False
24,000034,神州数码,24.53,5.14,3.67,26.42,24.05892929087,0.2649904,62.03529902,-511,2506,86.8,2026-07-30,1.96,53.8,False
25,000035,中国天楹,5.02,0.2,1.04,27.07,5.02642749839,0.2501568,64.34918191,-984,1753,83.6,2026-07-30,-0.13,53.8,False
26,000036,华联控股,3.94,2.07,1.0,53.1,3.912570209447,0.2101128,63.0094683,-248,2158,70.8,2026-07-30,0.7,44.6,False
27,000037,深南电A,9.14,1.56,2.97,114.53,9.04322672195,0.2288264,57.85775577,-1198,3819,82.4,2026-07-30,1.07,47.7,False
28,000039,中集集团,8.59,-1.26,0.93,55.42,8.753125553583,0.216546,65.93363986,1295,1323,80.8,2026-07-30,-1.86,53.3,False
29,000042,中洲控股,8.18,1.49,0.47,-20.53,8.123624349962,0.2154,54.39654993,-849,4640,63.6,2026-07-30,0.69,34.6,False
30,000045,深纺织Ａ,9.61,0.95,1.09,54.8,9.605026820361,0.2194868,66.56791732,-277,1156,82.0,2026-07-30,0.05,54.6,False
31,000048,京基智农,18.81,10.0,3.05,-10.79,17.182993822253,0.2799992,63.83725763,845,1898,70.4,2026-07-30,9.47,44.9,False
32,000049,德赛电池,24.54,0.82,1.1,29.53,24.463119574909,0.2433064,62.02034389,-1381,2513,84.4,2026-07-30,0.31,52.3,False
33,000050,深天马Ａ,6.49,0.62,0.94,-28.39,6.466230084121,0.2852368,61.47750174,-1456,2683,78.4,2026-07-30,0.37,48.2,False
34,000055,方大集团,3.38,1.2,0.57,32.18,3.380880352178,0.1835968,55.17302558,-1154,4484,70.8,2026-07-30,-0.03,39.1,False
35,000056,*ST皇庭,1.87,2.19,0.72,-17.11,1.866245090481,0.3935748,60.50092293,-1090,2992,68.0,2026-07-30,0.2,41.1,False
36,000058,深 赛 格,6.68,1.21,0.53,83.22,6.608184028309,0.1764452,66.44256403,2288,1193,75.6,2026-07-30,1.09,50.2,False
37,000059,华锦股份,4.61,-1.07,0.74,41.56,4.638010619012,0.1710344,65.16748036,807,1531,75.2,2026-07-30,-0.6,49.0,False
38,000060,中金岭南,6.32,1.44,1.46,13.93,6.255326486853,0.370024,65.40556051,-915,1455,78.0,2026-07-30,1.03,51.0,True
39,000061,农 产 品,5.93,0.51,0.53,21.79,5.90554553628,0.181588,65.96237825,-664,1315,74.4,2026-07-30,0.41,49.1,False
40,000062,深圳华强,21.88,5.39,1.89,28.48,21.003508526042,0.2114396,60.13732987,59,3105,78.8,2026-07-30,4.17,47.4,False
41,000063,中兴通讯,34.08,2.34,2.21,31.1,33.551678638616,0.3783476,59.13628792,513,3449,87.2,2026-07-30,1.57,51.6,False
42,000065,北方国际,9.3,0.65,0.66,24.44,9.271515630673,0.2157652,63.87218096,-836,1884,73.2,2026-07-30,0.31,46.8,False
43,000066,中国长城,13.78,4.79,2.57,-132.9,13.390884714266,0.2676676,51.9001282,48,4980,84.4,2026-07-30,2.91,43.8,False
44,000068,华控赛格,2.75,1.85,0.52,-38.1,2.754178959538,0.1693684,48.99834011,-432,5140,69.6,2026-07-30,-0.15,34.1,False
45,000069,华侨城Ａ,1.74,0.0,0.32,-2.55,1.750025605975,0.3351524,55.31640462,-579,4453,73.6,2026-07-30,-0.57,40.7,False
46,000070,特发信息,12.88,5.75,3.67,-293.26,12.397049537831,0.2067452,51.38396696,58,5040,78.4,2026-07-30,3.9,40.3,False
47,000078,ST海王,1.6,1.27,1.63,72.62,1.61555063219,0.2775584,54.33155233,216,4648,82.0,2026-07-30,-0.96,44.6,False
