序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.09,-1.37,0.19,3.37,10.278381067268,0.37548,60.15173288,4,1558,84.8,2026-06-26,-1.83,51.0,False
2,000002,万  科Ａ,2.98,-1.0,0.49,-1.49,3.017020116943,0.4331584,58.29708485,869,2062,75.2,2026-06-26,-1.23,43.8,False
3,000004,国华退,0.27,-3.57,0.37,-1.4,0.261608980775,0.529633255814,65.61150284,2319,637,64.8,2026-06-26,3.21,42.5,False
4,000006,深振业Ａ,7.1,-0.98,0.35,318.33,7.280507471053,0.3533184,54.66690238,3,3127,70.4,2026-06-26,-2.48,38.5,False
5,000007,全新好,12.44,-1.74,0.39,-496.37,12.628928441959,0.3204792,52.08891995,102,3864,64.8,2026-06-26,-1.5,33.8,False
6,000008,神州高铁,2.18,-3.11,0.39,-48.7,2.269582225623,0.2993128,47.5263093,-99,4769,67.2,2026-06-26,-3.95,31.9,False
7,000009,中国宝安,5.98,-3.39,0.35,220.81,6.31300354513,0.229128,48.9162297,-554,4564,74.8,2026-06-26,-5.27,36.6,False
8,000010,*ST美丽,1.7,-4.49,0.76,18.05,1.811321703792,0.307989411765,55.16366713,206,2981,64.0,2026-06-26,-6.15,35.3,False
9,000011,深物业A,6.51,-1.81,0.21,-35.61,6.712035910154,0.0832052,52.32007761,-111,3816,68.4,2026-06-26,-3.01,35.8,False
10,000012,南  玻Ａ,4.86,1.25,2.82,-37.47,4.900322334549,0.2924464,65.23269951,-337,683,87.6,2026-06-26,-0.82,57.1,False
11,000014,沙河股份,9.05,-2.48,0.63,-64.51,9.397090837542,0.100068,48.12140477,-260,4690,66.4,2026-06-26,-3.69,32.0,False
12,000016,*ST康佳A,2.19,-5.19,0.74,-7.17,2.288318631678,0.362349215686,51.74136554,341,3963,69.6,2026-06-26,-4.3,36.0,False
13,000017,深中华A,4.91,-2.77,0.5,138.33,5.070219510601,0.0742832,61.74620077,1385,1236,68.0,2026-06-26,-3.16,42.0,False
14,000019,深粮控股,5.59,-1.76,0.38,24.8,5.698468675213,0.2031668,52.41563193,788,3789,66.4,2026-06-26,-1.9,34.8,False
15,000020,深华发Ａ,10.54,-2.86,0.58,143.4,10.864799777273,0.078896,61.39551275,1125,1303,63.6,2026-06-26,-2.99,39.0,False
16,000021,深科技,58.86,10.0,3.68,95.66,54.834431786193,0.4755108,66.94366943,72,493,95.6,2026-06-26,7.34,64.0,False
