序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.39,-1.05,0.09,3.47,10.403883028811,0.4621096,70.76638924,1496,365,84.0,2026-07-06,-0.13,59.4,False
2,000002,万  科Ａ,3.0,-2.28,0.33,-1.5,3.077687528774,0.3419812,52.8516788,-1249,4400,74.8,2026-07-06,-2.52,39.5,False
3,000004,国华退,0.4,-2.44,0.96,-2.07,0.443618600035,0.498816976744,63.32383263,-461,1540,75.2,2026-07-06,-9.83,47.6,False
4,000006,深振业Ａ,6.95,-1.97,0.25,311.61,7.200434990782,0.3327952,54.47394967,-115,4027,72.4,2026-07-06,-3.48,39.4,False
5,000007,全新好,12.1,-6.06,2.07,-482.8,12.996739199133,0.3699452,61.78804068,1619,1953,60.8,2026-07-06,-6.9,37.6,False
6,000008,神州高铁,,,0.0,-52.72,2.365237184699,0.368314,52.35264879,396,4503,68.4,2026-07-06,,35.8,False
7,000009,中国宝安,6.33,-0.94,0.15,233.73,6.413896168133,0.2048528,54.32084616,-1024,4064,74.8,2026-07-06,-1.31,40.6,False
8,000010,*ST美丽,1.83,3.39,0.79,19.43,1.868136673351,0.296022941176,54.58296405,-1117,3997,65.6,2026-07-06,-2.04,35.8,False
9,000011,深物业A,6.45,-1.83,0.15,-35.29,6.585152941176,0.1594548,52.40834471,-75,4490,67.6,2026-07-06,-2.05,35.4,False
10,000012,南  玻Ａ,4.39,-4.98,1.46,-33.85,4.773150445517,0.2378228,58.11140748,-1394,3002,90.4,2026-07-06,-8.03,52.5,False
11,000014,沙河股份,9.14,-0.98,0.5,-65.15,9.319523794326,0.1057412,48.17019911,-59,5018,66.4,2026-07-06,-1.93,32.0,False
12,000016,*ST康佳A,2.51,-1.95,0.63,-8.22,2.666989941918,0.320762352941,57.81391159,-673,3080,74.4,2026-07-06,-5.89,43.0,False
13,000017,深中华A,5.94,-1.49,0.46,167.35,6.050231532677,0.1700592,65.59194259,17,1057,84.4,2026-07-06,-1.82,55.4,False
14,000019,深粮控股,5.92,-1.5,0.35,26.26,5.974453931049,0.191258,56.25035,1489,3543,66.8,2026-07-06,-0.91,37.6,False
15,000020,深华发Ａ,10.84,-0.91,0.36,147.48,11.085646980354,0.109608,62.2711791,-223,1815,64.0,2026-07-06,-2.22,39.9,False
16,000021,深科技,53.07,-0.43,2.53,86.25,54.599671780122,0.4095504,61.78444854,-452,1954,95.6,2026-07-06,-2.8,59.1,False
17,000025,特  力Ａ,13.5,-0.22,0.17,43.72,13.658885211172,0.2007984,58.24558655,-1160,2969,74.0,2026-07-06,-1.16,43.1,False
18,000026,飞亚达,21.24,-1.98,0.8,33.11,22.061244515719,0.2849624,71.3138426,-135,309,79.2,2026-07-06,-3.72,56.5,False
19,000027,深圳能源,6.14,-2.69,0.19,5.85,6.300370265148,0.354566,59.16853689,-458,2698,76.0,2026-07-06,-2.55,45.0,False
20,000028,国药一致,20.62,-2.41,0.21,10.98,20.842205545084,0.2054944,64.4374764,496,1306,70.8,2026-07-06,-1.07,45.6,False
21,000029,深深房Ａ,22.82,-0.52,0.13,-1469.73,22.845810259683,0.3294244,63.60505109,-344,1469,72.4,2026-07-06,-0.11,46.1,False
22,000030,富奥股份,4.04,-1.22,0.12,13.93,4.091970630632,0.1924016,65.71757177,-49,1028,66.4,2026-07-06,-1.27,43.6,False
23,000031,大悦城,2.11,-2.76,0.23,-10.22,2.143694374697,0.31773,57.9460144,1366,3047,67.6,2026-07-06,-1.57,39.2,False
24,000032,深桑达Ａ,21.31,0.14,0.9,-78.56,20.99998316701,0.3143736,59.91269871,1764,2476,83.6,2026-07-06,1.48,50.1,False
25,000034,神州数码,28.03,-2.94,2.09,30.19,27.60334587211,0.3617928,77.94605441,4,39,92.0,2026-07-06,1.55,71.7,False
26,000035,中国天楹,4.68,-1.27,0.28,25.24,4.818265699894,0.2691084,56.14265376,384,3577,66.4,2026-07-06,-2.87,37.3,False
27,000036,华联控股,4.25,-0.7,0.24,57.28,4.306684931008,0.2581212,63.09319605,261,1601,64.8,2026-07-06,-1.32,40.9,False
28,000037,深南电A,8.57,-2.17,0.88,107.39,8.835007999899,0.2343108,51.7746464,343,4606,73.6,2026-07-06,-3.0,38.1,False
29,000039,中集集团,8.13,-0.73,0.16,52.45,8.246925859106,0.2040644,53.93416943,-20,4151,71.6,2026-07-06,-1.42,38.6,False
