序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.56,0.19,0.11,3.53,10.500536281499,0.4385616,61.4719637,542,1419,86.4,2026-07-13,0.57,53.1,False
2,000002,万  科Ａ,3.01,-0.66,0.24,-1.51,3.047418136058,0.4432844,57.93343819,-536,2446,77.2,2026-07-13,-1.23,44.7,False
3,000006,深振业Ａ,6.45,-2.42,0.48,289.19,6.84644334272,0.3014712,53.97918916,-731,3722,71.6,2026-07-13,-5.79,38.6,False
4,000007,全新好,10.17,1.6,0.58,-405.79,10.373870935144,0.2723164,49.9156532,-1177,4682,64.0,2026-07-13,-1.97,31.9,False
5,000008,神州高铁,2.6,10.17,0.37,-58.08,2.365237184699,0.191514,54.10733934,1219,3680,70.8,2026-07-13,9.93,38.3,False
6,000009,中国宝安,6.0,0.0,0.15,221.55,6.035247875351,0.1940584,51.64173743,-511,4329,76.0,2026-07-13,-0.58,39.2,False
7,000010,*ST美丽,1.69,-0.59,0.25,17.94,1.712476461903,0.333494705882,54.66822473,1095,3527,66.8,2026-07-13,-1.31,36.5,False
8,000011,深物业A,6.21,-0.32,0.14,-33.97,6.296003393832,0.1357216,54.07457488,798,3694,69.2,2026-07-13,-1.37,37.4,False
9,000012,南  玻Ａ,3.92,0.51,0.39,-30.23,3.966308917083,0.2243552,52.21484665,255,4186,83.6,2026-07-13,-1.17,43.7,False
10,000014,沙河股份,8.81,-0.45,0.57,-62.8,8.988447533061,0.0767732,47.10573379,-193,5026,69.6,2026-07-13,-1.99,32.8,False
11,000016,*ST康佳A,2.37,2.6,0.34,-7.76,2.340558456876,0.272006666667,52.9846853,87,3991,72.8,2026-07-13,1.26,38.6,False
12,000017,深中华A,5.79,1.76,1.46,163.12,5.812339678547,0.1690968,58.86320363,-14,2176,83.2,2026-07-13,-0.38,49.0,False
13,000019,深粮控股,5.97,0.67,0.38,26.49,5.904900703642,0.127262,50.13602576,149,4631,68.0,2026-07-13,1.1,34.1,False
14,000020,深华发Ａ,10.11,0.1,0.41,137.55,10.26070383797,0.132398,61.49226143,1446,1409,66.0,2026-07-13,-1.47,40.6,False
15,000021,深科技,53.16,2.0,3.2,86.4,55.141167899922,0.4239988,60.72707426,-1222,1633,96.0,2026-07-13,-3.59,58.3,False
16,000025,特  力Ａ,13.39,1.06,0.46,43.36,13.210176297694,0.2081744,61.07820136,1238,1541,74.8,2026-07-13,1.36,45.7,False
17,000026,飞亚达,17.72,0.74,0.72,27.62,18.0122821278,0.3008352,59.08795497,-1624,2110,72.8,2026-07-13,-1.62,43.0,False
18,000027,深圳能源,6.01,0.67,0.11,5.72,5.9823140507,0.3117904,57.39082189,-677,2630,76.8,2026-07-13,0.46,44.1,False
19,000028,国药一致,20.69,0.98,0.22,11.02,20.495874132654,0.145776,61.15978223,-15,1514,74.0,2026-07-13,0.95,45.3,False
20,000029,深深房Ａ,21.93,-1.35,0.13,-1412.41,22.897556497547,0.3039432,58.41151044,313,2289,64.4,2026-07-13,-4.23,37.6,False
21,000030,富奥股份,3.96,1.02,0.12,13.65,3.929814958887,0.1665796,60.2093051,-645,1798,66.0,2026-07-13,0.77,39.7,False
22,000031,大悦城,2.08,-0.48,0.17,-10.08,2.12787439748,0.2601864,52.62413326,-483,4088,71.6,2026-07-13,-2.25,37.7,False
23,000032,深桑达Ａ,20.3,-0.34,1.45,-74.84,21.083481342121,0.3554996,61.35775866,640,1447,90.4,2026-07-13,-3.72,55.5,False
24,000034,神州数码,26.9,-2.54,2.7,28.97,28.472557507328,0.3338668,67.23526928,-417,450,94.8,2026-07-13,-5.52,63.7,False
25,000035,中国天楹,4.45,1.37,0.4,24.0,4.426434743262,0.2473844,53.57964321,208,3834,68.8,2026-07-13,0.53,36.9,False
26,000036,华联控股,4.29,1.9,0.69,57.82,4.193296779524,0.3692704,68.81139627,2283,296,64.8,2026-07-13,2.31,44.6,False
27,000037,深南电A,8.22,2.49,0.84,103.0,8.120535471108,0.1827184,51.00699044,-899,4460,74.0,2026-07-13,1.22,37.7,False
28,000039,中集集团,7.53,-1.44,0.35,48.58,7.742365603746,0.2375572,58.43953785,433,2278,74.4,2026-07-13,-2.74,43.5,False
29,000042,中洲控股,7.43,-4.74,0.39,-18.65,7.755760795594,0.1941236,55.12374884,1344,3378,66.0,2026-07-13,-4.2,36.4,False
30,000045,深纺织Ａ,9.11,0.22,0.22,51.94,9.251551378592,0.1438548,56.90304122,-1052,2779,68.4,2026-07-13,-1.53,38.9,False
31,000048,京基智农,22.07,-3.88,2.63,-12.66,24.471539402887,0.3976056,63.99690368,-160,872,84.0,2026-07-13,-9.81,53.8,False
32,000049,德赛电池,24.31,4.42,1.45,29.25,23.613230053076,0.1746752,60.55784013,22,1680,76.4,2026-07-13,2.95,46.3,False
33,000050,深天马Ａ,7.07,-1.26,0.53,-30.93,7.330320399551,0.2432376,56.49313241,855,2923,82.8,2026-07-13,-3.55,46.8,False
34,000055,方大集团,3.32,5.73,1.73,31.61,3.175647207432,0.1792808,56.36732017,1444,2977,67.6,2026-07-13,4.55,38.1,False
35,000056,*ST皇庭,2.13,1.43,0.54,-19.49,2.128195294652,0.3560436,56.57129982,952,2895,70.4,2026-07-13,0.08,39.8,False
36,000058,深 赛 格,5.98,0.0,0.16,74.5,6.012094158026,0.0658152,54.04814116,-1343,3701,72.8,2026-07-13,-0.53,39.3,False
37,000059,华锦股份,4.36,2.11,1.73,39.3,4.297352700317,0.2499388,60.94956351,2074,1568,74.0,2026-07-13,1.46,45.1,False
38,000060,中金岭南,6.14,0.49,0.45,13.54,6.206784892498,0.3166888,59.80824622,86,1911,85.6,2026-07-13,-1.08,51.2,True
39,000061,农 产 品,5.67,1.43,0.33,20.84,5.605941105081,0.185506,65.5965175,135,641,71.2,2026-07-13,1.14,46.7,False
40,000062,深圳华强,26.62,-6.14,1.59,34.65,29.516114718999,0.2790396,58.90640261,-1542,2163,90.4,2026-07-13,-9.81,53.3,False
41,000063,中兴通讯,39.18,-2.15,2.3,35.75,41.201540506481,0.520172,67.95033523,-51,371,94.4,2026-07-13,-4.91,64.1,False
42,000065,北方国际,8.63,0.47,0.23,22.68,8.660323553875,0.2306376,56.08696209,-60,3070,71.6,2026-07-13,-0.35,40.2,False
43,000066,中国长城,17.28,-4.27,2.51,-166.66,18.801021892862,0.3350788,53.7378348,-697,3785,90.4,2026-07-13,-8.09,48.6,False
44,000068,华控赛格,2.65,0.38,0.23,-36.71,2.658932161843,0.2276008,50.43098477,254,4572,68.0,2026-07-13,-0.34,34.3,False
45,000069,华侨城Ａ,1.63,0.0,0.09,-2.39,1.644122068653,0.3448616,50.17694128,-1275,4625,74.0,2026-07-13,-0.86,37.1,False
