序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.44,-1.55,0.28,3.82,11.588242471746,0.4151716,73.61938321,460,288,91.2,2026-08-03,-1.28,67.1,False
2,000002,万  科Ａ,3.28,-2.38,0.81,-1.64,3.33200062501,0.3723232,60.8983775,225,3550,80.8,2026-08-03,-1.56,49.2,False
3,000006,深振业Ａ,6.66,0.6,0.64,298.61,6.5605508875,0.3067692,60.46916167,-1937,3671,72.0,2026-08-03,1.52,43.5,False
4,000007,全新好,9.29,1.31,1.42,-370.68,9.096156544286,0.196684,56.1255826,-1067,4715,64.8,2026-08-03,2.13,36.4,False
5,000008,神州高铁,2.44,0.0,0.69,-54.5,2.425997953581,0.296347454545,57.3845305,355,4492,76.4,2026-08-03,0.58,43.8,False
6,000009,中国宝安,7.88,0.0,2.12,290.97,7.885025019745,0.298796,69.45694553,108,927,93.2,2026-08-03,-0.06,64.7,False
7,000010,*ST美丽,1.63,-1.81,1.54,17.31,1.620245503122,0.3809564,65.27702634,310,2084,68.4,2026-08-03,0.6,44.6,False
8,000011,深物业A,8.1,2.02,1.29,-44.31,7.980100115008,0.1063536,58.24437998,9,4294,78.0,2026-08-03,1.5,45.4,False
9,000012,南  玻Ａ,3.96,-0.25,0.45,-30.53,3.950389113869,0.1751408,59.21888226,143,4046,75.2,2026-08-03,0.24,44.5,False
10,000014,沙河股份,10.15,-0.39,1.05,-72.35,10.102388590435,0.1300428,59.07754496,729,4085,78.8,2026-08-03,0.47,46.6,False
11,000016,*ST康佳A,2.56,-0.39,0.44,-8.38,2.547464609472,0.3532744,63.77127121,-760,2569,73.6,2026-08-03,0.49,46.9,False
12,000017,深中华A,6.1,0.99,0.91,171.86,6.014119234561,0.135198,64.01159917,-1715,2484,76.8,2026-08-03,1.43,49.2,False
13,000019,深粮控股,6.13,-0.81,0.81,27.2,6.174671565068,0.2172224,55.53428844,-814,4818,71.2,2026-08-03,-0.72,39.5,False
14,000020,深华发Ａ,10.87,0.46,1.53,147.89,10.685724654814,0.1180068,66.034201,-575,1845,68.4,2026-08-03,1.72,45.2,False
15,000021,深科技,35.54,2.98,3.73,57.76,35.201088623274,0.3126532,61.36063105,-2204,3377,88.8,2026-08-03,0.96,54.5,False
16,000025,特  力Ａ,15.53,-0.89,1.71,50.29,15.45663249537,0.2996696,78.21732069,345,33,86.0,2026-08-03,0.47,67.3,False
