序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.75,0.56,0.13,3.59,10.618202938247,0.425704,60.53637177,-905,2324,86.4,2026-07-14,1.24,52.3,False
2,000002,万  科Ａ,3.1,1.64,0.44,-1.55,3.025050066362,0.3405592,57.61547309,-802,3248,77.2,2026-07-14,2.48,44.5,False
3,000006,深振业Ａ,6.49,0.31,0.38,290.98,6.45495843913,0.2885364,53.10789726,-661,4383,70.8,2026-07-14,0.54,37.6,False
4,000007,全新好,10.16,-0.2,0.52,-405.39,10.173031484116,0.2713456,51.57425373,10,4672,60.8,2026-07-14,-0.13,31.4,False
5,000008,神州高铁,2.63,1.15,2.85,-58.75,2.6,0.382676977273,60.71375207,1406,2274,70.8,2026-07-14,1.15,43.0,False
6,000009,中国宝安,6.12,0.16,0.25,225.98,6.052128618964,0.1985644,58.65112333,1418,2911,75.6,2026-07-14,1.12,44.3,False
7,000010,*ST美丽,1.75,0.0,0.66,18.58,1.717663319152,0.4255252,61.33640722,1434,2093,66.8,2026-07-14,1.88,41.0,False
8,000011,深物业A,6.45,2.06,0.19,-35.29,6.2848849171,0.0872656,51.52988684,-986,4680,69.6,2026-07-14,2.63,35.9,False
9,000012,南  玻Ａ,3.83,-3.04,0.99,-29.53,3.936968351541,0.2363632,53.84589714,-61,4247,82.4,2026-07-14,-2.72,44.4,False
10,000014,沙河股份,9.19,2.0,0.52,-65.51,8.898905729792,0.0889928,53.69078581,748,4278,69.2,2026-07-14,3.27,37.2,False
11,000016,*ST康佳A,2.6,10.17,1.03,-8.51,2.348788639078,0.3885772,58.90310853,1145,2846,72.4,2026-07-14,10.7,42.6,False
12,000017,深中华A,5.93,2.24,1.24,167.07,5.768027616121,0.1295628,61.09440469,19,2157,81.6,2026-07-14,2.81,49.9,False
13,000019,深粮控股,6.08,1.33,0.38,26.97,5.978462052247,0.1438136,50.48073292,-217,4848,68.4,2026-07-14,1.7,34.5,False
14,000020,深华发Ａ,10.51,1.06,0.37,142.99,10.22077554521,0.1153948,60.49653195,-928,2337,65.6,2026-07-14,2.83,39.7,False
15,000021,深科技,50.9,-3.07,4.4,82.72,51.758434753568,0.4295444,64.94701163,459,1174,92.8,2026-07-14,-1.66,60.3,False
16,000025,特  力Ａ,13.5,0.15,0.16,43.72,13.452292363195,0.2239856,65.53491697,486,1055,75.2,2026-07-14,0.35,49.3,False
17,000026,飞亚达,18.44,0.88,0.61,28.74,17.954159241501,0.3146292,66.59365791,1263,847,71.6,2026-07-14,2.71,47.7,False
18,000027,深圳能源,6.13,0.49,0.15,5.84,6.038877222631,0.3530448,64.11533104,1251,1379,76.8,2026-07-14,1.51,49.2,False
19,000028,国药一致,20.99,1.06,0.17,11.18,20.836943798576,0.2062168,66.5193693,654,860,74.0,2026-07-14,0.73,49.2,False
20,000029,深深房Ａ,20.52,-3.75,0.37,-1321.6,21.582674746906,0.2434084,57.68282882,-929,3218,64.0,2026-07-14,-4.92,36.9,False
21,000030,富奥股份,4.06,1.25,0.15,14.0,3.983707097552,0.2288216,66.95232677,1006,792,64.8,2026-07-14,1.92,43.4,False
22,000031,大悦城,2.19,2.34,0.39,-10.61,2.108804984274,0.2871496,59.11924002,1314,2774,71.2,2026-07-14,3.85,42.1,False
23,000032,深桑达Ａ,18.94,-0.26,1.14,-69.82,19.452105426737,0.3142756,57.57666334,-1813,3260,88.0,2026-07-14,-2.63,50.7,False
24,000034,神州数码,26.11,0.35,2.09,28.12,26.291410500737,0.35812,65.95421906,-517,967,92.4,2026-07-14,-0.69,60.9,False
25,000035,中国天楹,4.62,2.21,0.31,24.91,4.492737198735,0.2399232,56.2633442,202,3632,68.4,2026-07-14,2.83,38.5,False
26,000036,华联控股,4.93,6.48,2.07,66.45,4.466321717729,0.430782,72.38025116,75,221,67.6,2026-07-14,10.38,48.9,False
27,000037,深南电A,8.43,0.96,1.16,105.64,8.223976236727,0.2358644,57.98734869,1354,3106,74.8,2026-07-14,2.51,43.4,False
28,000039,中集集团,7.75,0.65,0.23,50.0,7.624919553903,0.1960556,56.34158303,-1329,3607,74.4,2026-07-14,1.64,41.9,False
29,000042,中洲控股,8.3,4.8,0.99,-20.83,7.65017555041,0.1860652,53.61717507,-918,4296,66.0,2026-07-14,8.49,35.4,False
30,000045,深纺织Ａ,9.29,0.32,0.2,52.97,9.144445738577,0.1243348,59.49336914,129,2650,68.4,2026-07-14,1.59,40.7,False
31,000048,京基智农,21.63,-2.13,1.25,-12.41,22.16111045105,0.363098,62.32575051,-963,1835,83.2,2026-07-14,-2.4,51.9,False
32,000049,德赛电池,24.59,-0.93,0.8,29.59,24.458136480034,0.2292372,64.95718894,508,1172,78.0,2026-07-14,0.54,50.7,False
33,000050,深天马Ａ,6.79,-4.23,0.73,-29.7,7.042761411624,0.2482064,62.5866377,1146,1777,83.2,2026-07-14,-3.59,52.1,False
