序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,10.44,-0.48,0.1,3.49,10.511195297572,0.3839796,61.35569801,-555,1750,87.2,2026-07-09,-0.68,53.5,False
2,000002,万  科Ａ,2.99,0.34,0.24,-1.5,2.980532474871,0.3686244,52.80976839,-1055,4221,75.2,2026-07-09,0.32,39.7,False
3,000004,国华退,0.46,9.52,1.69,-2.38,0.417009740673,0.636566046512,67.37260927,-138,649,70.4,2026-07-09,10.31,47.4,False
4,000006,深振业Ａ,7.15,4.53,0.96,320.58,6.769884294521,0.32085,55.360631,356,3563,73.2,2026-07-09,5.61,40.5,False
5,000007,全新好,11.14,2.67,0.59,-444.49,10.921760826858,0.2586864,52.58604965,-345,4266,64.4,2026-07-09,2.0,33.9,False
6,000008,神州高铁,,,0.0,-52.72,2.365237184699,0.191514,53.25230389,-416,4116,69.2,2026-07-09,,36.9,False
7,000009,中国宝安,6.1,0.16,0.19,225.24,6.073726799119,0.2009432,51.53143801,1,4480,74.8,2026-07-09,0.43,38.5,False
8,000010,*ST美丽,1.75,-3.85,1.1,18.58,1.841449580797,0.339601568627,55.00666891,-1807,3660,66.8,2026-07-09,-4.97,36.7,False
9,000011,深物业A,6.35,1.28,0.18,-34.74,6.288843669251,0.1133888,50.55015228,-45,4640,68.8,2026-07-09,0.97,34.8,False
10,000012,南  玻Ａ,4.3,-0.23,0.81,-33.16,4.238558862659,0.2391588,58.9874911,1541,2437,82.0,2026-07-09,1.45,48.4,False
11,000014,沙河股份,9.04,1.57,0.37,-64.44,8.85992472309,0.1048488,47.3768178,25,5050,67.2,2026-07-09,2.03,31.8,False
12,000016,*ST康佳A,2.48,0.4,0.31,-8.12,2.488505512943,0.260846666667,55.03832401,-2281,3650,74.4,2026-07-09,-0.34,40.9,False
13,000017,深中华A,5.9,-9.92,3.06,166.22,6.405614711058,0.2234292,72.10488594,1100,242,79.2,2026-07-09,-7.89,57.1,False
14,000019,深粮控股,5.79,-0.34,0.16,25.69,5.816685641358,0.0908156,49.14844147,6,4847,68.0,2026-07-09,-0.46,33.4,False
15,000020,深华发Ａ,10.64,0.47,0.51,144.76,10.377075300109,0.0803792,60.12708655,559,2101,64.4,2026-07-09,2.53,38.7,False
16,000021,深科技,61.86,9.99,5.13,100.54,54.78221981179,0.491916,73.2683722,2024,183,87.2,2026-07-09,12.92,63.9,False
17,000025,特  力Ａ,13.15,-0.23,0.12,42.59,13.018996658124,0.2304732,58.83254735,248,2495,75.2,2026-07-09,1.01,44.2,False
18,000026,飞亚达,19.22,2.51,0.7,29.96,18.504093635322,0.2670016,58.93693306,-986,2457,71.6,2026-07-09,3.87,42.2,False
19,000027,深圳能源,5.97,-0.17,0.09,5.68,5.948934029191,0.3360928,57.95547904,109,2787,77.2,2026-07-09,0.35,44.7,False
20,000028,国药一致,19.95,-1.14,0.13,10.62,20.357675103334,0.1099128,60.16789507,80,2086,73.6,2026-07-09,-2.0,44.3,False
21,000029,深深房Ａ,23.06,-3.6,0.37,-1485.19,22.971656125025,0.3265608,67.39849528,1832,646,72.8,2026-07-09,0.38,49.1,False
22,000030,富奥股份,3.91,-0.76,0.14,13.48,3.949510595369,0.2062204,59.69373802,-486,2235,67.2,2026-07-09,-1.0,40.1,False
23,000031,大悦城,2.13,0.95,0.2,-10.32,2.101151131749,0.2792088,53.25101722,-85,4117,69.2,2026-07-09,1.37,36.8,False
24,000032,深桑达Ａ,23.37,4.24,2.7,-86.16,22.451616611696,0.4385272,70.98854805,221,313,84.4,2026-07-09,4.09,59.9,False
